tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
Harbor Desk,Walk-in,Royalty,2021 TY,"$10,910",Standard,"$21,820","$76,370",Single,2-page,4.75%,Simple,No filing yet,Yes,No,13249.22,4 stars,15,12,0 dependents,"$13,850",$0,Yes
Highland Desk,Online,Wages,2023 TY,"$40,140",Standard,"$1,310","$2,180",Head of Household,2-page,4.75%,Simple,On time,Yes,Yes,4035.88,5 stars,7,4,0 dependents,"$20,800",$0,Yes
North Desk,Online,Wages,2022 TY,"$44,250",Standard,"$1,440","$2,400",Single,2-page,4.75%,Simple,On time,Yes,No,5051.36,5 stars,2,5,1 dependent,"$13,850",$0,Yes
Prairie Desk,Online,Wages,2021 TY,"$46,810",Standard,"$1,530","$2,540",Head of Household,8-page,0.00%,Schedule-heavy,No filing yet,No,No,3131.87,3 stars,1,10,0 dependents,"$20,800",$0,No
River Desk,Preparer,Wages,2020 TY,"$16,130",Standard,$530,$880,Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,240.69,5 stars,2,6,0 dependents,"$13,850",$0,Yes
Capitol Desk,Walk-in,Mixed,2020 TY,"$57,120",Standard,"$25,960","$20,770",Single,8-page,0.00%,Schedule-heavy,No filing yet,Yes,Yes,12742.09,4 stars,5,16,0 dependents,"$13,850",$800,No
Central Desk,Preparer,Royalty,2020 TY,"$13,200",Itemized,"$26,410","$92,430",Head of Household,2-page,0.00%,Simple,On time,Yes,No,9239.29,5 stars,7,14,0 dependents,"$32,970",$0,No
Delta Desk,Preparer,Royalty,2023 TY,"$5,250",Itemized,"$10,510","$36,780",Single,2-page,7.00%,Simple,On time,No,Yes,761.42,4 stars,10,5,1 dependent,"$28,980",$400,Yes
Prairie Desk,Online,Mixed,2021 TY,"$48,650",Itemized,"$22,110","$17,690",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,3584.09,5 stars,1,14,0 dependents,"$52,500",$0,Yes
Capitol Desk,Walk-in,Self-employed,2021 TY,"$9,220",Standard,"$49,150","$3,070",Married Joint,2-page,3.00%,Simple,No filing yet,Yes,No,5174.42,4 stars,9,6,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Pension,2023 TY,"$45,260",Standard,$0,"$7,990",Single,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,4215.32,4 stars,1,10,4 dependents,"$13,850",$0,No
Central Desk,Online,Contract,2023 TY,"$17,300",Standard,"$29,660","$2,470",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,5,5,3 dependents,"$27,700","$4,800",Yes
North Desk,Walk-in,Wages,2022 TY,"$37,530",Itemized,"$1,220","$2,040",Head of Household,2-page,7.00%,Simple,On time,Yes,No,0.0,5 stars,0,4,0 dependents,"$37,600",$0,Yes
North Desk,Online,Mixed,Not Available,"$60,260",Itemized,"$27,390","$21,910",Head of Household,2-page,6.20%,Simple,On time,No,No,17656.85,4 stars,4,12,0 dependents,"$22,330",$0,Yes
River Desk,Online,Pension,2022 TY,"$39,930",Standard,$0,"$7,050",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,3457.2,5 stars,7,10,1 dependent,"$13,850",$0,Yes
Capitol Desk,Online,Wages,2023 TY,"$101,690",Itemized,"$3,320","$5,530",Married Joint,2-page,6.20%,Simple,No filing yet,Yes,No,11558.86,4 stars,12,12,2 dependents,"$38,600","$3,200",Yes
Delta Desk,Online,Mixed,2019 TY,"$43,660",Itemized,"$19,850","$15,880",Single,8-page,4.75%,Schedule-heavy,On time,Yes,No,2853.7,5 stars,9,13,2 dependents,"$26,330","$3,200",Yes
Central Desk,Preparer,Royalty,2023 TY,"$4,310",Standard,"$8,620","$30,170",Single,2-page,6.20%,Simple,On time,No,No,2117.75,4 stars,6,4,0 dependents,"$13,850",$400,Yes
Central Desk,Online,Royalty,Not Available,"$13,350",Standard,"$26,710","$93,470",Single,2-page,6.20%,Simple,On time,Yes,Yes,18980.23,5 stars,3,14,0 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Contract,2023 TY,"$29,630",Standard,"$50,800","$4,230",Head of Household,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,8830.93,5 stars,10,14,0 dependents,"$20,800",$0,No
Harbor Desk,Online,Investment,2022 TY,"$27,160",Itemized,"$13,580","$95,060",Head of Household,2-page,4.75%,Simple,On time,Yes,No,10852.05,5 stars,11,15,2 dependents,"$23,330","$3,200",Yes
North Desk,Preparer,Wages,2023 TY,"$83,330",Standard,"$2,720","$4,530",Married Separate,2-page,3.00%,Simple,On time,No,Yes,12160.63,4 stars,11,10,3 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Wages,2021 TY,"$42,630",Standard,"$1,390","$2,320",Married Joint,16-page,0.00%,Audit-ready,On time,No,No,1830.14,3 stars,9,10,0 dependents,"$27,700",$800,No
Harbor Desk,Preparer,Mixed,2023 TY,"$40,800",Standard,"$18,550","$14,840",Married Joint,8-page,6.20%,Schedule-heavy,3-year amend,Yes,No,5070.02,4 stars,9,13,1 dependent,"$27,700","$1,600",Yes
River Desk,Online,Mixed,2023 TY,"$40,070",Standard,"$18,210","$14,570",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,4392.33,5 stars,0,8,0 dependents,"$27,700",$0,No
Central Desk,Preparer,Mixed,Not Available,"$21,600",Standard,"$9,820","$7,860",Married Joint,8-page,5.50%,Schedule-heavy,No filing yet,Yes,Yes,1074.04,4 stars,7,9,1 dependent,"$27,700",$0,Yes
Prairie Desk,Preparer,Self-employed,2022 TY,"$9,230",Standard,"$49,210","$3,080",Married Joint,2-page,7.00%,Simple,On time,No,No,5314.88,4 stars,4,6,3 dependents,"$27,700",$0,Yes
Capitol Desk,Walk-in,Wages,2019 TY,"$86,550",Standard,"$2,820","$4,700",Single,2-page,4.75%,Simple,On time,No,No,16167.27,4 stars,3,10,1 dependent,"$13,850",$0,Yes
Central Desk,Online,Investment,2022 TY,"$22,070",Standard,"$11,030","$77,240",Single,2-page,4.75%,Simple,No filing yet,No,No,12425.56,3 stars,0,12,0 dependents,"$13,850",$0,Yes
Prairie Desk,Online,Wages,2020 TY,"$27,320",Standard,$890,"$1,480",Head of Household,2-page,5.50%,Simple,On time,Yes,Yes,0.0,5 stars,2,3,1 dependent,"$20,800","$1,600",Yes
Capitol Desk,Preparer,Wages,2021 TY,"$22,690",Standard,$740,"$1,230",Married Joint,2-page,6.20%,Simple,On time,Yes,No,0.0,5 stars,10,2,0 dependents,"$27,700",$0,Yes
Central Desk,Online,Wages,2021 TY,"$93,800",Standard,"$3,060","$5,100",Head of Household,2-page,3.00%,Simple,On time,Yes,Yes,11391.53,5 stars,10,11,2 dependents,"$20,800","$3,200",Yes
Harbor Desk,Online,Wages,2023 TY,"$55,050",Standard,"$1,790","$2,990",Single,8-page,3.00%,Schedule-heavy,On time,No,No,6179.39,4 stars,8,11,0 dependents,"$13,850",$0,Yes
River Desk,Walk-in,Pension,2020 TY,"$32,000",Standard,$0,"$5,650",Married Joint,2-page,5.50%,Simple,2-year amend,Yes,Yes,0.0,4 stars,1,4,2 dependents,"$27,700","$4,000",Yes
North Desk,Online,Mixed,2020 TY,"$38,380",Standard,"$17,450","$13,960",Single,2-page,7.00%,Simple,On time,Yes,Yes,10957.87,5 stars,8,7,0 dependents,"$13,850",$400,Yes
Harbor Desk,Online,Wages,2019 TY,"$24,420",Standard,$800,"$1,330",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,1974.03,5 stars,1,7,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Investment,2023 TY,"$34,400",Standard,"$17,200","$120,400",Single,16-page,4.75%,Audit-ready,On time,Yes,Yes,24511.98,4 stars,8,24,0 dependents,"$13,850",$0,Yes
Capitol Desk,Online,Mixed,2023 TY,"$36,410",Standard,"$16,550","$13,240",Single,2-page,7.00%,Simple,On time,No,No,8636.42,4 stars,0,7,0 dependents,"$13,850",$0,Yes
River Desk,Online,Wages,2019 TY,"$87,230",Itemized,"$2,840","$4,740",Head of Household,16-page,0.00%,Audit-ready,No filing yet,Yes,Yes,6239.44,3 stars,3,15,0 dependents,"$39,830",$0,No
Capitol Desk,Online,Wages,2019 TY,"$58,180",Standard,"$1,900","$3,160",Single,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,6275.21,5 stars,1,12,1 dependent,"$13,850",$0,No
Capitol Desk,Online,Wages,2022 TY,"$88,600",Standard,"$2,890","$4,820",Married Joint,2-page,5.50%,Simple,2-year amend,Yes,Yes,13955.49,4 stars,13,10,0 dependents,"$27,700",$0,Yes
Central Desk,Online,Self-employed,2021 TY,"$12,040",Standard,"$64,190","$4,010",Married Joint,2-page,0.00%,Simple,On time,Yes,No,6082.08,5 stars,6,8,0 dependents,"$27,700",$0,No
Highland Desk,Preparer,Wages,2022 TY,"$75,880",Standard,"$2,470","$4,120",Married Joint,2-page,3.00%,Simple,On time,Yes,No,7453.29,5 stars,11,9,0 dependents,"$27,700",$400,Yes
North Desk,Online,Wages,2022 TY,"$72,920",Standard,"$2,380","$3,960",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,8849.59,5 stars,0,13,0 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,Not Available,"$70,800",Standard,"$2,310","$3,850",Single,2-page,5.50%,Simple,On time,Yes,No,8443.8,5 stars,8,8,2 dependents,"$13,850","$3,200",Yes
River Desk,Preparer,Mixed,2021 TY,"$48,640",Standard,"$22,110","$17,690",Qualifying Widow,2-page,4.75%,Simple,No filing yet,Yes,No,2735.59,4 stars,6,9,3 dependents,"$27,700","$4,800",Yes
Central Desk,Online,Wages,2023 TY,"$51,900",Itemized,"$1,690","$2,820",Head of Household,8-page,4.75%,Schedule-heavy,On time,Yes,No,4558.42,5 stars,5,11,0 dependents,"$32,570",$0,Yes
Highland Desk,Online,Pension,2019 TY,"$66,850",Standard,$0,"$11,800",Married Separate,2-page,5.50%,Simple,On time,No,No,7505.84,4 stars,10,8,2 dependents,"$13,850","$3,200",Yes
Capitol Desk,Online,Wages,Not Available,"$37,010",Standard,"$1,210","$2,010",Married Joint,2-page,5.50%,Simple,2-year amend,Yes,No,514.23,4 stars,4,4,2 dependents,"$27,700",$0,Yes
River Desk,Online,Self-employed,Not Available,"$10,670",Standard,"$56,920","$3,560",Single,8-page,6.20%,Schedule-heavy,On time,Yes,No,8659.02,5 stars,11,12,4 dependents,"$13,850",$0,Yes
Highland Desk,Online,Mixed,2023 TY,"$43,150",Standard,"$19,610","$15,690",Head of Household,16-page,6.20%,Audit-ready,On time,Yes,Yes,10857.42,4 stars,0,13,0 dependents,"$20,800",$0,Yes
Highland Desk,Online,Mixed,2022 TY,"$49,540",Itemized,"$22,520","$18,010",Single,8-page,5.50%,Schedule-heavy,No filing yet,Yes,No,11474.07,4 stars,6,15,0 dependents,"$19,360",$800,Yes
Central Desk,Walk-in,Wages,2021 TY,"$47,560",Standard,"$1,550","$2,580",Single,2-page,6.20%,Simple,On time,Yes,No,4326.17,5 stars,1,5,1 dependent,"$13,850","$1,600",Yes
North Desk,Walk-in,Investment,2023 TY,"$22,870",Standard,"$11,440","$80,060",Single,2-page,6.20%,Simple,No filing yet,Yes,Yes,11232.44,4 stars,9,12,2 dependents,"$13,850","$3,200",Yes
Central Desk,Walk-in,Contract,2023 TY,"$21,800",Standard,"$37,360","$3,110",Married Separate,2-page,0.00%,Simple,On time,Yes,No,1400.26,5 stars,7,6,2 dependents,"$13,850","$4,000",No
Harbor Desk,Online,Wages,2021 TY,"$22,110",Itemized,$720,"$1,200",Married Joint,2-page,7.00%,Simple,On time,Yes,No,0.0,5 stars,7,2,1 dependent,"$38,420",$0,Yes
Central Desk,Preparer,Wages,2022 TY,"$57,250",Standard,"$1,870","$3,110",Married Separate,2-page,6.20%,Simple,On time,No,No,9477.41,4 stars,9,6,0 dependents,"$13,850",$0,Yes
Prairie Desk,Preparer,Contract,2022 TY,"$12,660",Standard,"$21,710","$1,810",Married Separate,16-page,4.75%,Audit-ready,On time,Yes,Yes,90.23,4 stars,9,9,2 dependents,"$13,850","$3,200",Yes
Harbor Desk,Online,Mixed,2023 TY,"$14,280",Standard,"$6,490","$5,190",Single,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,0.0,4 stars,16,7,2 dependents,"$13,850","$3,200",No
North Desk,Walk-in,Wages,2023 TY,"$60,060",Standard,"$1,960","$3,260",Head of Household,2-page,5.50%,Simple,On time,No,No,6726.5,4 stars,5,7,0 dependents,"$20,800",$0,Yes
Harbor Desk,Preparer,Wages,2023 TY,"$67,810",Itemized,"$2,210","$3,690",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,No,4241.95,4 stars,7,8,1 dependent,"$35,150","$1,600",Yes
Harbor Desk,Online,Self-employed,2023 TY,"$13,490",Standard,"$71,970","$4,500",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,12828.44,5 stars,1,9,0 dependents,"$27,700",$0,Yes
River Desk,Walk-in,Self-employed,2021 TY,"$13,710",Standard,"$73,130","$4,570",Single,2-page,4.75%,Simple,On time,Yes,Yes,12560.45,5 stars,3,10,1 dependent,"$13,850","$1,600",Yes
Highland Desk,Online,Mixed,2021 TY,"$11,010",Standard,"$5,010","$4,000",Qualifying Widow,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,788.96,5 stars,7,7,1 dependent,"$27,700",$0,No
Capitol Desk,Online,Farm,2019 TY,"$3,110",Itemized,"$8,710",$620,Single,2-page,3.00%,Simple,On time,Yes,Yes,0.0,5 stars,0,1,2 dependents,"$27,570","$3,200",Yes
River Desk,Online,Mixed,2023 TY,"$75,460",Standard,"$34,300","$27,440",Single,8-page,6.20%,Schedule-heavy,On time,Yes,No,18538.07,5 stars,11,20,4 dependents,"$13,850","$6,400",Yes
Central Desk,Online,Wages,2022 TY,"$33,920",Standard,"$1,110","$1,840",Married Joint,2-page,0.00%,Simple,On time,No,Yes,0.0,4 stars,11,4,1 dependent,"$27,700","$1,600",No
Capitol Desk,Walk-in,Mixed,2022 TY,"$52,980",Standard,"$24,080","$19,270",Single,2-page,5.50%,Simple,2-year amend,No,No,16384.13,3 stars,5,10,0 dependents,"$13,850",$400,Yes
Harbor Desk,Preparer,Wages,2021 TY,"$41,870",Standard,"$1,370","$2,280",Single,16-page,3.00%,Audit-ready,On time,No,No,5950.99,3 stars,9,10,0 dependents,"$13,850",$0,Yes
North Desk,Online,Wages,2021 TY,"$58,800",Itemized,"$1,920","$3,200",Married Joint,2-page,4.75%,Simple,On time,Yes,No,4820.22,5 stars,7,7,0 dependents,"$37,330",$0,Yes
North Desk,Preparer,Wages,2022 TY,"$43,060",Standard,"$1,400","$2,340",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,1483.13,5 stars,5,5,0 dependents,"$27,700",$0,Yes
Capitol Desk,Walk-in,Wages,2021 TY,"$69,440",Standard,"$2,260","$3,770",Head of Household,8-page,3.00%,Schedule-heavy,No filing yet,No,No,8570.98,3 stars,12,13,0 dependents,"$20,800",$0,Yes
Central Desk,Walk-in,Self-employed,2019 TY,"$11,390",Standard,"$60,740","$3,800",Single,2-page,5.50%,Simple,On time,No,Yes,12042.39,4 stars,6,8,1 dependent,"$13,850",$0,Yes
Harbor Desk,Walk-in,Wages,2023 TY,"$47,140",Itemized,"$1,540","$2,560",Married Separate,2-page,5.50%,Simple,On time,Yes,No,3975.73,5 stars,3,5,0 dependents,"$26,040",$0,Yes
Highland Desk,Walk-in,Mixed,2021 TY,"$25,570",Standard,"$11,620","$9,300",Married Joint,2-page,0.00%,Simple,On time,No,Yes,2673.1,4 stars,6,5,0 dependents,"$27,700",$0,No
North Desk,Preparer,Self-employed,2022 TY,"$12,100",Standard,"$64,510","$4,030",Married Joint,2-page,4.75%,Simple,On time,No,No,8922.59,4 stars,1,8,2 dependents,"$27,700",$0,Yes
River Desk,Online,Self-employed,2022 TY,"$4,100",Standard,"$21,870","$1,370",Married Joint,2-page,6.20%,Simple,On time,Yes,No,0.0,5 stars,3,3,0 dependents,"$27,700",$0,Yes
Central Desk,Walk-in,Investment,2023 TY,"$24,050",Standard,"$12,020","$84,160",Married Joint,2-page,5.50%,Simple,On time,Yes,No,9545.53,5 stars,11,13,1 dependent,"$27,700","$1,600",Yes
Central Desk,Online,Investment,2021 TY,"$46,920",Itemized,"$23,460","$164,200",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,No,29067.33,5 stars,2,31,3 dependents,"$25,520","$4,800",Yes
Central Desk,Online,Self-employed,2023 TY,"$17,940",Itemized,"$95,680","$5,980",Single,8-page,6.20%,Schedule-heavy,On time,Yes,Yes,20634.44,5 stars,7,18,1 dependent,"$17,690","$2,400",Yes
River Desk,Online,Wages,Not Available,"$72,900",Standard,"$2,380","$3,960",Single,2-page,0.00%,Simple,2-year amend,Yes,No,9314.07,4 stars,5,8,0 dependents,"$13,850",$0,No
Central Desk,Online,Mixed,2023 TY,"$41,490",Itemized,"$18,860","$15,090",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,2224.39,5 stars,5,8,0 dependents,"$56,290",$0,No
North Desk,Preparer,Self-employed,2022 TY,"$1,800",Standard,"$9,600",$600,Head of Household,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,2,1,1 dependent,"$20,800",$0,Yes
North Desk,Walk-in,Wages,2023 TY,"$27,840",Itemized,$910,"$1,510",Single,2-page,5.50%,Simple,No filing yet,No,No,0.0,3 stars,10,3,1 dependent,"$29,090","$1,600",Yes
Delta Desk,Online,Wages,2022 TY,"$85,360",Standard,"$2,780","$4,640",Married Joint,2-page,6.20%,Simple,On time,No,No,12093.61,4 stars,6,10,0 dependents,"$27,700",$0,Yes
Prairie Desk,Preparer,Wages,2022 TY,"$39,600",Standard,"$1,290","$2,150",Head of Household,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,284.84,5 stars,7,9,1 dependent,"$20,800","$1,600",Yes
River Desk,Online,Mixed,2022 TY,"$31,360",Standard,"$14,260","$11,400",Married Separate,2-page,4.75%,Simple,On time,Yes,No,3848.36,5 stars,3,6,1 dependent,"$13,850","$1,600",Yes
Harbor Desk,Preparer,Wages,2021 TY,"$53,380",Standard,"$1,740","$2,900",Qualifying Widow,2-page,5.50%,Simple,On time,Yes,No,5290.84,5 stars,6,6,0 dependents,"$27,700",$0,Yes
Delta Desk,Online,Wages,2020 TY,"$33,590",Standard,"$1,100","$1,830",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,8,9,1 dependent,"$27,700","$1,600",Yes
Capitol Desk,Online,Pension,2022 TY,"$24,120",Standard,$0,"$4,260",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,0.0,5 stars,8,8,0 dependents,"$27,700",$0,Yes
Capitol Desk,Preparer,Contract,2020 TY,"$22,960",Itemized,"$39,350","$3,280",Single,2-page,5.50%,Simple,No filing yet,Yes,Yes,6051.54,4 stars,10,7,0 dependents,"$25,540",$0,Yes
Central Desk,Online,Wages,2022 TY,"$37,360",Standard,"$1,220","$2,030",Head of Household,2-page,3.00%,Simple,No filing yet,No,Yes,1698.56,3 stars,4,4,2 dependents,"$20,800",$0,Yes
Harbor Desk,Online,Contract,2022 TY,"$16,190",Itemized,"$27,750","$2,310",Single,16-page,4.75%,Audit-ready,On time,Yes,No,3524.08,4 stars,6,10,0 dependents,"$22,530",$0,Yes
North Desk,Online,Wages,Not Available,"$39,790",Standard,"$1,300","$2,160",Married Separate,2-page,3.00%,Simple,On time,Yes,Yes,3190.92,5 stars,6,4,1 dependent,"$13,850",$0,Yes
Prairie Desk,Online,Contract,2019 TY,"$28,570",Itemized,"$48,980","$4,080",Married Joint,8-page,7.00%,Schedule-heavy,On time,Yes,Yes,4300.74,5 stars,11,14,0 dependents,"$57,700",$0,Yes
Central Desk,Preparer,Farm,2023 TY,"$12,140",Standard,"$34,000","$2,430",Married Joint,8-page,3.00%,Schedule-heavy,On time,No,No,2371.95,4 stars,4,10,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Wages,2022 TY,"$53,100",Standard,"$1,730","$2,890",Married Joint,2-page,0.00%,Simple,On time,Yes,No,0.0,5 stars,3,6,3 dependents,"$27,700","$4,800",No
Central Desk,Online,Investment,2019 TY,"$25,810",Standard,"$12,900","$90,330",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,9549.44,5 stars,8,14,0 dependents,"$27,700",$0,No
Highland Desk,Walk-in,Farm,2021 TY,"$12,860",Standard,"$36,020","$2,570",Head of Household,2-page,0.00%,Simple,On time,Yes,Yes,3786.31,5 stars,7,5,0 dependents,"$20,800",$0,No
Harbor Desk,Preparer,Contract,2020 TY,"$20,720",Standard,"$35,530","$2,960",Married Joint,2-page,3.00%,Simple,2-year amend,Yes,No,0.0,4 stars,9,6,3 dependents,"$27,700","$5,000",Yes
Prairie Desk,Online,Farm,2021 TY,"$17,760",Itemized,"$49,740","$3,550",Married Joint,2-page,5.50%,Simple,On time,Yes,No,0.0,5 stars,0,7,2 dependents,"$50,190","$3,200",Yes
Capitol Desk,Preparer,Mixed,2021 TY,"$53,930",Standard,"$24,510","$19,610",Single,8-page,0.00%,Schedule-heavy,On time,Yes,No,10794.95,5 stars,8,15,1 dependent,"$13,850",$0,No
Capitol Desk,Online,Wages,2022 TY,"$53,790",Standard,"$1,750","$2,920",Married Joint,8-page,3.00%,Schedule-heavy,On time,Yes,No,4020.88,5 stars,8,11,0 dependents,"$27,700",$0,Yes
Central Desk,Online,Pension,2022 TY,"$41,900",Itemized,$0,"$7,390",Married Joint,16-page,0.00%,Audit-ready,On time,Yes,No,0.0,4 stars,11,10,0 dependents,"$59,950",$0,No
River Desk,Preparer,Self-employed,2019 TY,"$6,430",Standard,"$34,280","$2,140",Single,16-page,4.75%,Audit-ready,On time,Yes,No,2524.58,4 stars,6,9,1 dependent,"$13,850",$800,Yes
River Desk,Online,Self-employed,2020 TY,"$6,000",Standard,"$32,010","$2,000",Single,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,2708.21,5 stars,6,9,0 dependents,"$13,850",$0,No
River Desk,Online,Wages,2020 TY,"$74,020",Itemized,"$2,410","$4,020",Married Joint,2-page,5.50%,Simple,On time,Yes,Yes,6188.89,5 stars,2,8,0 dependents,"$48,250",$0,Yes
North Desk,Walk-in,Mixed,2022 TY,"$50,240",Standard,"$22,840","$18,270",Married Joint,2-page,5.50%,Simple,No filing yet,Yes,Yes,9438.38,4 stars,6,10,2 dependents,"$27,700",$0,Yes
Central Desk,Preparer,Wages,2021 TY,"$67,090",Itemized,"$2,190","$3,650",Married Joint,2-page,5.50%,Simple,2-year amend,Yes,Yes,6495.93,4 stars,2,8,0 dependents,"$34,760",$0,Yes
North Desk,Walk-in,Self-employed,2022 TY,"$12,170",Itemized,"$64,890","$4,060",Single,2-page,3.00%,Simple,On time,No,No,8574.81,4 stars,6,9,0 dependents,"$22,170",$0,Yes
Highland Desk,Walk-in,Wages,2021 TY,"$58,060",Standard,"$1,890","$3,160",Single,2-page,6.20%,Simple,On time,No,No,7819.77,4 stars,8,7,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Self-employed,2019 TY,"$14,410",Itemized,"$76,860","$4,800",Single,2-page,5.50%,Simple,On time,Yes,Yes,14662.48,5 stars,9,10,1 dependent,"$15,200","$1,600",Yes
North Desk,Preparer,Pension,Not Available,"$53,520",Standard,$0,"$9,440",Married Separate,2-page,0.00%,Simple,On time,Yes,Yes,2900.35,5 stars,7,6,1 dependent,"$13,850","$1,600",No
North Desk,Online,Mixed,2020 TY,"$57,940",Standard,"$26,330","$21,070",Head of Household,2-page,4.75%,Simple,3-year amend,Yes,No,11374.72,4 stars,9,11,2 dependents,"$20,800","$3,200",Yes
River Desk,Preparer,Mixed,2020 TY,"$41,240",Standard,"$18,740","$15,000",Single,8-page,6.20%,Schedule-heavy,On time,No,No,10636.13,4 stars,7,13,0 dependents,"$13,850",$0,Yes
Harbor Desk,Online,Wages,2020 TY,"$87,660",Standard,"$2,860","$4,760",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,10741.26,5 stars,9,10,0 dependents,"$27,700",$200,Yes
