aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
747-8F,boeing,2008,"47,209 hrs","28,584 cycles",GEnx-2B,977 hrs,697 cycles,D-Check Due,OEM Managed,On Lease,Europe,No,No,None,Good,Freighter (0 seats),1 ADs,37,63.7,"3,627 kg/hr",45040000.0,47057000.0,48644000.0
A330-300,airbus,2007,"45,828 hrs","25,014 cycles",PW4000,"3,928 hrs","2,923 cycles",Fresh C-Check,Hourly Inspection,Owned,North America,No,No,None,Excellent,277 seats,2 ADs,19,59.9,"3,033 kg/hr",36359000.0,31576000.0,32761000.0
787-9,BOEING,2001,"56,222 hrs","26,384 cycles",GEnx-1B,"2,630 hrs","1,899 cycles",Fresh D-Check,MSG-3,Owned,North America,Yes,Yes,Minor,Good,296 seats,2 ADs,14,32.8,"1,244 kg/hr",29338000.0,29998000.0,31423000.0
737-800,Boeing,2021,"12,014 hrs","5,996 cycles",CFM56-7B,"2,119 hrs","1,120 cycles",C-Check Due,Hourly Inspection,On Lease,North America,Yes,No,None,Good,189 seats,0 ADs,20,48.7,"3,253 kg/hr",39461000.0,39459000.0,38223000.0
737-800,BOEING,2016,"22,643 hrs","12,458 cycles",CFM56-7B,"8,545 hrs","4,647 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,No,No,None,Excellent,189 seats,1 ADs,52,57.9,"3,548 kg/hr",23382000.0,30859000.0,28037000.0
A320neo,Airbus,2022,"6,200 hrs","2,918 cycles",PW1100G,"1,843 hrs",800 cycles,Fresh C-Check,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Good,180 seats,0 ADs,48,72.5,"1,742 kg/hr",69136000.0,56730000.0,58062000.0
A320-200,Airbus,2010,"30,164 hrs","21,143 cycles",V2500,"4,968 hrs","2,102 cycles",Fresh C-Check,Hourly Inspection,Owned,Africa,No,No,None,Good,180 seats,0 ADs,9,36.6,"2,023 kg/hr",24432000.0,19250000.0,19121000.0
787-9,BOEING,2011,"36,011 hrs","18,999 cycles",GEnx-1B,351 hrs,243 cycles,Fresh D-Check,MSG-3,On Lease,Europe,No,No,None,Good,296 seats,Not Reported,15,52.9,"3,309 kg/hr",69132000.0,70493000.0,73044000.0
A350-900,airbus,2018,"22,128 hrs","11,157 cycles",Trent XWB,"4,952 hrs","2,672 cycles",Fresh C-Check,OEM Managed,Owned,Europe,No,No,Minor,Good,325 seats,1 ADs,55,36.4,"3,328 kg/hr",92826000.0,84473000.0,96442000.0
747-8F,boeing,1999,"70,728 hrs","31,760 cycles",GEnx-2B,"3,853 hrs","2,083 cycles",Fresh C-Check,Hourly Inspection,Owned,Europe,Yes,No,None,Poor,Freighter (0 seats),1 ADs,17,43.1,"2,624 kg/hr",24403000.0,27692000.0,25458000.0
777-300ER,boeing,2008,"63,326 hrs","34,057 cycles",GE90-115B,"1,185 hrs",771 cycles,Fresh C-Check,OEM Managed,Owned,Africa,No,No,None,Excellent,396 seats,0 ADs,29,69.4,"2,878 kg/hr",41301000.0,38278000.0,34449000.0
777-300ER,Boeing,2000,"79,680 hrs","52,168 cycles",GE90-115B,713 hrs,434 cycles,D-Check Due,Hourly Inspection,Owned,Latin America,Yes,No,None,Poor,396 seats,6 ADs,52,59.4,"3,052 kg/hr",19016000.0,17754000.0,18065000.0
A320-200,Airbus,2010,"51,419 hrs","25,967 cycles",CFM56-5B,"2,554 hrs","1,445 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Latin America,Yes,Yes,None,Excellent,180 seats,1 ADs,4,68.1,"3,257 kg/hr",23083000.0,20475000.0,17974000.0
ATR 72-600,ATR,2022,"7,741 hrs","5,223 cycles",PW127M,"1,616 hrs",676 cycles,C-Check Due,MSG-3,Off Lease,Africa,No,No,None,Excellent,70 seats,0 ADs,23,66.7,"1,986 kg/hr",22978000.0,20544000.0,23116000.0
E175,Embraer,2006,"55,615 hrs","25,931 cycles",CF34-8E,"3,772 hrs","1,721 cycles",D-Check Due,MSG-3,Owned,Africa,Yes,Yes,Minor,Fair,76 seats,0 ADs,30,35.9,"2,065 kg/hr",7053000.0,6425000.0,6212000.0
E175,Embraer,2002,"60,739 hrs","26,388 cycles",CF34-8E,"3,621 hrs","2,615 cycles",D-Check Due,OEM Managed,Owned,Europe,Yes,No,Minor,Excellent,76 seats,2 ADs,40,61.6,"3,181 kg/hr",6651000.0,5596000.0,5314000.0
A330-300,AIRBUS,2006,"40,715 hrs","19,993 cycles",CF6-80E1,"3,009 hrs","2,024 cycles",Fresh C-Check,Hourly Inspection,Owned,Africa,Yes,No,Minor,Good,277 seats,1 ADs,50,55.9,"2,699 kg/hr",33366000.0,31565000.0,30187000.0
737 MAX 8,boeing,2005,"50,776 hrs","33,946 cycles",LEAP-1B,"8,724 hrs","3,905 cycles",C-Check Due,MSG-3,On Lease,Middle East,No,No,None,Good,178 seats,1 ADs,18,49.6,"2,044 kg/hr",15726000.0,13127000.0,13317000.0
ATR 72-600,ATR,2017,"21,687 hrs","13,475 cycles",PW127M,"3,030 hrs","1,541 cycles",C-Check Due,MSG-3,Off Lease,North America,Yes,No,None,Excellent,70 seats,1 ADs,7,77.4,"4,390 kg/hr",17851000.0,16864000.0,17288000.0
777-300ER,boeing,2014,"29,446 hrs","19,356 cycles",GE90-115B,826 hrs,472 cycles,Fresh D-Check,OEM Managed,Off Lease,Europe,Yes,Yes,None,Poor,396 seats,2 ADs,11,72.4,"1,711 kg/hr",70709000.0,72695000.0,64781000.0
737-800,Boeing,2009,"35,220 hrs","19,221 cycles",CFM56-7B,670 hrs,399 cycles,D-Check Due,OEM Managed,On Lease,Latin America,Yes,No,None,Excellent,189 seats,0 ADs,26,56.1,"3,561 kg/hr",18801000.0,16029000.0,17122000.0
777-300ER,BOEING,2007,"45,861 hrs","21,351 cycles",GE90-115B,"4,016 hrs","2,807 cycles",Fresh C-Check,MSG-3,On Lease,Europe,No,No,None,Good,396 seats,0 ADs,38,81.5,"2,888 kg/hr",61002000.0,47773000.0,50260000.0
A320-200,AIRBUS,2000,"76,775 hrs","35,891 cycles",CFM56-5B,"2,657 hrs","1,244 cycles",Fresh C-Check,OEM Managed,Owned,Middle East,Yes,Yes,None,Excellent,180 seats,Not Reported,5,73.4,"3,276 kg/hr",9929000.0,10376000.0,10572000.0
A350-900,Airbus,2012,"44,120 hrs","23,925 cycles",Trent XWB,"4,358 hrs","2,727 cycles",Fresh C-Check,MSG-3,Owned,North America,No,No,None,Good,325 seats,1 ADs,21,71.8,"1,835 kg/hr",71853000.0,64394000.0,66222000.0
737 MAX 8,BOEING,2017,"21,317 hrs","8,834 cycles",LEAP-1B,"7,753 hrs","3,707 cycles",C-Check Due,MSG-3,On Lease,Latin America,No,Yes,None,Good,178 seats,2 ADs,48,37.9,"2,533 kg/hr",38362000.0,31841000.0,31643000.0
787-9,boeing,2005,"46,204 hrs","25,297 cycles",Trent 1000,"3,545 hrs","1,501 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,Yes,None,Good,296 seats,1 ADs,54,58.1,"2,296 kg/hr",46611000.0,42018000.0,42499000.0
A320-200,airbus,2019,"16,093 hrs","7,959 cycles",CFM56-5B,892 hrs,448 cycles,Fresh D-Check,MSG-3,Owned,Africa,Yes,Yes,None,Good,180 seats,0 ADs,25,69.5,"1,333 kg/hr",43984000.0,41421000.0,41285000.0
A320-200,airbus,2010,"45,319 hrs","28,888 cycles",CFM56-5B,"2,537 hrs","1,724 cycles",Fresh C-Check,Hourly Inspection,Owned,Africa,No,No,Minor,Fair,180 seats,1 ADs,44,84.9,"3,638 kg/hr",18018000.0,18141000.0,17158000.0
A330-300,airbus,2020,"13,786 hrs","8,040 cycles",Trent 700,"1,946 hrs","1,202 cycles",D-Check Due,MSG-3,On Lease,Middle East,No,No,None,Poor,277 seats,0 ADs,54,37.3,"2,793 kg/hr",64437000.0,64366000.0,55368000.0
787-9,boeing,2019,"17,488 hrs","8,997 cycles",GEnx-1B,"8,132 hrs","4,000 cycles",C-Check Due,Hourly Inspection,Owned,Europe,Yes,Yes,Minor,Good,296 seats,0 ADs,46,54.4,"2,960 kg/hr",87395000.0,90561000.0,90532000.0
747-8F,boeing,2006,"47,733 hrs","21,017 cycles",GEnx-2B,"7,705 hrs","3,450 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,Yes,None,Good,Freighter (0 seats),2 ADs,10,55.5,900 kg/hr,46514000.0,46250000.0,44817000.0
ATR 72-600,atr,2000,"54,607 hrs","23,925 cycles",PW127M,"6,591 hrs","3,647 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,No,None,Good,70 seats,2 ADs,9,60.2,"1,518 kg/hr",4578000.0,5297000.0,5350000.0
A320-200,Airbus,2016,"24,976 hrs","13,837 cycles",V2500,"3,884 hrs","2,205 cycles",D-Check Due,MSG-3,Owned,Middle East,No,No,None,Poor,180 seats,1 ADs,42,58.0,"3,805 kg/hr",19024000.0,21364000.0,22213000.0
737 MAX 8,boeing,2011,"36,785 hrs","22,181 cycles",LEAP-1B,661 hrs,334 cycles,Fresh C-Check,MSG-3,On Lease,Africa,No,Yes,None,Excellent,178 seats,2 ADs,58,52.9,"3,860 kg/hr",26604000.0,25630000.0,25102000.0
737 MAX 8,boeing,2013,"41,961 hrs","22,962 cycles",LEAP-1B,"5,793 hrs","2,573 cycles",C-Check Due,OEM Managed,On Lease,North America,No,Yes,None,Good,178 seats,3 ADs,56,12.7,"1,521 kg/hr",22488000.0,19419000.0,20146000.0
ATR 72-600,atr,2020,"11,105 hrs","6,116 cycles",PW127M,196 hrs,118 cycles,D-Check Due,Hourly Inspection,Owned,Middle East,Yes,Yes,None,Good,70 seats,0 ADs,28,37.6,"5,099 kg/hr",17075000.0,16239000.0,16562000.0
737-800,boeing,2000,"85,995 hrs","49,351 cycles",CFM56-7B,"6,125 hrs","2,886 cycles",C-Check Due,MSG-3,Owned,Africa,No,No,Minor,Excellent,189 seats,2 ADs,46,89.5,"2,808 kg/hr",8983000.0,9013000.0,8470000.0
737-800,BOEING,1999,"63,369 hrs","30,526 cycles",CFM56-7B,"8,315 hrs","4,439 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,No,Minor,Poor,189 seats,1 ADs,52,44.7,"1,883 kg/hr",8985000.0,7091000.0,6629000.0
CRJ900,Bombardier,2013,"35,711 hrs","14,608 cycles",CF34-8C5,"8,206 hrs","4,169 cycles",Fresh C-Check,MSG-3,Owned,North America,Yes,No,None,Good,76 seats,0 ADs,22,59.9,"3,491 kg/hr",14961000.0,13275000.0,13221000.0
CRJ900,bombardier,2020,"15,441 hrs","7,529 cycles",CF34-8C5,"5,330 hrs","3,037 cycles",C-Check Due,MSG-3,Owned,Africa,No,No,None,Good,76 seats,3 ADs,20,58.1,"2,920 kg/hr",17467000.0,19196000.0,19193000.0
777-300ER,boeing,1999,"73,383 hrs","49,601 cycles",GE90-115B,"7,614 hrs","4,218 cycles",C-Check Due,MSG-3,On Lease,Middle East,Yes,No,Minor,Good,396 seats,2 ADs,12,70.1,"3,028 kg/hr",29901000.0,20726000.0,22929000.0
787-9,boeing,2001,"55,065 hrs","22,144 cycles",Trent 1000,"3,547 hrs","1,870 cycles",Fresh C-Check,MSG-3,Off Lease,Middle East,No,No,None,Poor,296 seats,2 ADs,2,54.1,"3,891 kg/hr",31357000.0,29222000.0,27418000.0
E175,Embraer,2014,"32,522 hrs","16,878 cycles",CF34-8E,"4,535 hrs","2,353 cycles",D-Check Due,MSG-3,Off Lease,Europe,No,No,None,Good,76 seats,2 ADs,24,58.6,"2,464 kg/hr",14193000.0,13652000.0,12322000.0
777-300ER,BOEING,2001,"48,073 hrs","32,904 cycles",GE90-115B,"8,006 hrs","4,438 cycles",C-Check Due,Hourly Inspection,On Lease,Africa,Yes,Yes,None,Fair,396 seats,1 ADs,15,82.6,"4,719 kg/hr",28704000.0,31439000.0,32271000.0
A320neo,airbus,2012,"47,094 hrs","30,602 cycles",PW1100G,"5,137 hrs","2,389 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,Yes,None,Good,180 seats,2 ADs,21,20.0,"3,529 kg/hr",27159000.0,21846000.0,22137000.0
787-9,Boeing,2019,"15,518 hrs","5,740 cycles",GEnx-1B,"3,361 hrs","1,918 cycles",Fresh C-Check,MSG-3,Owned,North America,Yes,Yes,Minor,Good,296 seats,1 ADs,25,55.8,900 kg/hr,109844000.0,109205000.0,105640000.0
E175,embraer,2013,"44,243 hrs","18,011 cycles",CF34-8E,"4,317 hrs","2,228 cycles",D-Check Due,Hourly Inspection,On Lease,Middle East,Yes,No,None,Excellent,76 seats,0 ADs,16,38.4,"3,883 kg/hr",10368000.0,11551000.0,11851000.0
737 MAX 8,BOEING,1999,"63,694 hrs","32,550 cycles",LEAP-1B,"5,160 hrs","3,673 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,No,Yes,None,Poor,178 seats,1 ADs,26,77.2,"3,761 kg/hr",9539000.0,10241000.0,9376000.0
777-300ER,BOEING,2011,"40,158 hrs","18,818 cycles",GE90-115B,"2,949 hrs","1,317 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Fair,396 seats,1 ADs,35,73.2,"1,938 kg/hr",57090000.0,50870000.0,52701000.0
CRJ900,Bombardier,2017,"20,840 hrs","9,886 cycles",CF34-8C5,"4,588 hrs","2,678 cycles",D-Check Due,Hourly Inspection,On Lease,North America,Yes,Yes,None,Good,76 seats,0 ADs,18,40.2,"3,125 kg/hr",15275000.0,14959000.0,15479000.0
737-800,BOEING,1998,"81,273 hrs","44,418 cycles",CFM56-7B,"8,372 hrs","4,277 cycles",Fresh C-Check,Hourly Inspection,Owned,Latin America,Yes,No,None,Good,189 seats,0 ADs,4,34.1,"2,124 kg/hr",6594000.0,7797000.0,8233000.0
A320-200,airbus,2009,"39,769 hrs","29,294 cycles",V2500,"3,220 hrs","1,702 cycles",C-Check Due,MSG-3,Owned,Middle East,No,Yes,None,Good,180 seats,1 ADs,10,57.3,"2,373 kg/hr",17609000.0,18318000.0,17348000.0
A320neo,airbus,2000,"57,109 hrs","25,803 cycles",PW1100G,"5,130 hrs","2,262 cycles",Fresh C-Check,OEM Managed,Owned,Europe,No,No,Minor,Good,180 seats,0 ADs,36,51.1,"2,666 kg/hr",12264000.0,11479000.0,10931000.0
ATR 72-600,atr,1999,"62,137 hrs","44,359 cycles",PW127M,894 hrs,670 cycles,Fresh C-Check,MSG-3,Owned,Middle East,Yes,No,None,Good,70 seats,1 ADs,17,39.5,"4,074 kg/hr",5387000.0,4632000.0,4327000.0
E175,embraer,2013,"35,457 hrs","20,554 cycles",CF34-8E,"8,051 hrs","3,704 cycles",Fresh C-Check,MSG-3,On Lease,North America,No,No,Minor,Poor,76 seats,0 ADs,56,37.9,"2,306 kg/hr",11999000.0,13053000.0,11999000.0
ATR 72-600,ATR,2003,"62,732 hrs","31,222 cycles",PW127M,"4,078 hrs","1,907 cycles",C-Check Due,MSG-3,Off Lease,Latin America,Yes,No,None,Fair,70 seats,3 ADs,41,54.7,"2,765 kg/hr",4910000.0,5048000.0,4823000.0
CRJ900,bombardier,2011,"46,516 hrs","22,392 cycles",CF34-8C5,"6,209 hrs","3,667 cycles",D-Check Due,Hourly Inspection,Owned,Europe,No,No,None,Fair,76 seats,0 ADs,5,59.5,"3,607 kg/hr",9596000.0,8143000.0,8634000.0
A350-900,AIRBUS,2022,"8,900 hrs","3,107 cycles",Trent XWB,"3,730 hrs","1,713 cycles",D-Check Due,MSG-3,On Lease,Latin America,Yes,Yes,Minor,Good,325 seats,1 ADs,11,30.5,"3,068 kg/hr",110421000.0,98702000.0,95855000.0
A330-300,Airbus,2018,"19,348 hrs","10,738 cycles",PW4000,"2,911 hrs","1,278 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,No,None,Poor,277 seats,0 ADs,12,48.3,"3,305 kg/hr",75958000.0,62166000.0,68817000.0
ATR 72-600,atr,2013,"38,683 hrs","24,603 cycles",PW127M,"2,584 hrs","1,553 cycles",D-Check Due,Hourly Inspection,On Lease,Middle East,No,No,Major,Fair,70 seats,1 ADs,35,41.5,"2,410 kg/hr",8101000.0,6753000.0,6909000.0
A320-200,airbus,1998,"49,270 hrs","26,475 cycles",CFM56-5B,"7,109 hrs","3,078 cycles",Fresh C-Check,MSG-3,Owned,Latin America,No,Yes,None,Good,180 seats,3 ADs,46,55.8,"3,395 kg/hr",9801000.0,10387000.0,9895000.0
747-8F,Boeing,2014,"31,665 hrs","17,023 cycles",GEnx-2B,"2,437 hrs","1,019 cycles",Fresh C-Check,OEM Managed,On Lease,Asia-Pacific,No,Yes,None,Good,Freighter (0 seats),3 ADs,28,79.9,"2,497 kg/hr",103261000.0,95442000.0,88350000.0
A330-300,Airbus,2009,"37,980 hrs","17,784 cycles",CF6-80E1,"1,553 hrs",874 cycles,Fresh D-Check,MSG-3,Off Lease,Africa,No,No,None,Poor,277 seats,0 ADs,32,52.7,900 kg/hr,30894000.0,38723000.0,38680000.0
777-300ER,Boeing,2022,"8,972 hrs","5,531 cycles",GE90-115B,"8,264 hrs","3,847 cycles",C-Check Due,MSG-3,On Lease,Middle East,Yes,No,Minor,Excellent,396 seats,1 ADs,9,60.3,"2,447 kg/hr",126248000.0,100647000.0,106235000.0
CRJ900,bombardier,2008,"54,018 hrs","41,424 cycles",CF34-8C5,"6,162 hrs","2,957 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,No,Yes,None,Good,76 seats,2 ADs,31,51.9,"2,727 kg/hr",7838000.0,8727000.0,9161000.0
A330-300,Airbus,1998,"82,775 hrs","36,099 cycles",Trent 700,"3,878 hrs","2,146 cycles",C-Check Due,MSG-3,Off Lease,Latin America,No,No,Minor,Fair,277 seats,0 ADs,5,30.3,"2,182 kg/hr",16929000.0,14169000.0,14083000.0
747-8F,boeing,2013,"37,520 hrs","19,597 cycles",GEnx-2B,"3,540 hrs","2,027 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Good,Freighter (0 seats),3 ADs,12,84.1,"3,202 kg/hr",84111000.0,82068000.0,71399000.0
787-9,Boeing,2022,"6,751 hrs","3,054 cycles",Trent 1000,"4,682 hrs","2,192 cycles",C-Check Due,MSG-3,On Lease,Latin America,No,No,None,Fair,296 seats,1 ADs,1,80.3,"2,400 kg/hr",158223000.0,125568000.0,141268000.0
A320neo,Airbus,2019,"10,986 hrs","5,591 cycles",PW1100G,658 hrs,318 cycles,Fresh D-Check,MSG-3,Owned,Middle East,Yes,No,None,Good,180 seats,0 ADs,51,45.4,"3,036 kg/hr",48609000.0,48366000.0,47867000.0
787-9,boeing,2002,"66,379 hrs","39,688 cycles",Trent 1000,"8,663 hrs","5,622 cycles",D-Check Due,MSG-3,Owned,Latin America,Yes,No,None,Good,296 seats,2 ADs,35,60.8,"2,510 kg/hr",32826000.0,23833000.0,24093000.0
A330-300,AIRBUS,2008,"49,046 hrs","24,087 cycles",CF6-80E1,"8,469 hrs","3,625 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,No,None,Good,277 seats,1 ADs,42,77.6,"3,879 kg/hr",34551000.0,33403000.0,30379000.0
787-9,boeing,2005,"64,025 hrs","29,608 cycles",GEnx-1B,"7,532 hrs","4,699 cycles",D-Check Due,OEM Managed,On Lease,Africa,No,Yes,None,Fair,296 seats,1 ADs,3,64.3,"3,201 kg/hr",27726000.0,30218000.0,30841000.0
747-8F,Boeing,1998,"83,280 hrs","46,253 cycles",GEnx-2B,"6,127 hrs","3,151 cycles",C-Check Due,MSG-3,On Lease,Middle East,No,No,None,Excellent,Freighter (0 seats),0 ADs,31,41.4,"3,825 kg/hr",25431000.0,26465000.0,27255000.0
A320-200,airbus,2011,"31,035 hrs","16,058 cycles",V2500,"7,412 hrs","5,399 cycles",D-Check Due,OEM Managed,Off Lease,Asia-Pacific,Yes,Yes,None,Fair,180 seats,2 ADs,48,54.6,"2,420 kg/hr",15397000.0,17631000.0,16677000.0
737-800,BOEING,2001,"57,340 hrs","31,896 cycles",CFM56-7B,"3,062 hrs","2,308 cycles",D-Check Due,Hourly Inspection,On Lease,Europe,Yes,Yes,None,Fair,189 seats,1 ADs,5,60.6,"2,413 kg/hr",10476000.0,9046000.0,8621000.0
A330-300,airbus,2001,"66,553 hrs","29,714 cycles",PW4000,"5,619 hrs","2,518 cycles",C-Check Due,Hourly Inspection,Owned,Europe,Yes,No,Minor,Good,277 seats,0 ADs,5,40.9,"2,184 kg/hr",21115000.0,17788000.0,17652000.0
787-9,BOEING,2016,"31,235 hrs","19,434 cycles",Trent 1000,"8,694 hrs","3,961 cycles",Fresh D-Check,OEM Managed,On Lease,Middle East,No,Yes,None,Good,296 seats,1 ADs,53,79.9,"3,042 kg/hr",105479000.0,92318000.0,92266000.0
CRJ900,bombardier,2000,"56,019 hrs","37,594 cycles",CF34-8C5,449 hrs,263 cycles,Fresh D-Check,OEM Managed,On Lease,Latin America,Yes,No,None,Good,76 seats,2 ADs,59,64.0,"3,598 kg/hr",6470000.0,6416000.0,7419000.0
A320neo,airbus,2007,"64,167 hrs","26,715 cycles",LEAP-1A,"6,092 hrs","4,605 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Excellent,180 seats,0 ADs,41,34.4,"1,967 kg/hr",14006000.0,14478000.0,15009000.0
E175,Embraer,1999,"67,781 hrs","33,103 cycles",CF34-8E,"5,814 hrs","3,144 cycles",C-Check Due,MSG-3,On Lease,Middle East,Yes,No,None,Good,76 seats,0 ADs,7,68.8,"3,054 kg/hr",6412000.0,6198000.0,5666000.0
E175,Embraer,2006,"42,676 hrs","19,178 cycles",CF34-8E,"8,131 hrs","4,362 cycles",Fresh C-Check,OEM Managed,On Lease,Latin America,No,No,None,Excellent,76 seats,2 ADs,35,70.7,"3,115 kg/hr",11727000.0,10673000.0,10614000.0
A330-300,AIRBUS,2005,"44,741 hrs","17,968 cycles",CF6-80E1,"8,969 hrs","5,238 cycles",C-Check Due,MSG-3,Owned,North America,No,No,None,Excellent,277 seats,1 ADs,49,48.9,"3,321 kg/hr",24235000.0,27914000.0,29297000.0
ATR 72-600,atr,1999,"70,775 hrs","34,436 cycles",PW127M,"5,712 hrs","2,949 cycles",C-Check Due,Hourly Inspection,On Lease,Middle East,Yes,No,None,Fair,70 seats,3 ADs,15,58.3,"2,823 kg/hr",3693000.0,4270000.0,4057000.0
CRJ900,Bombardier,2006,"43,481 hrs","20,838 cycles",CF34-8C5,"8,846 hrs","4,237 cycles",C-Check Due,Hourly Inspection,On Lease,Europe,No,Yes,None,Good,76 seats,1 ADs,57,88.2,"2,179 kg/hr",10040000.0,9125000.0,9153000.0
787-9,Boeing,2015,"27,729 hrs","19,531 cycles",Trent 1000,"4,540 hrs","2,252 cycles",Fresh C-Check,OEM Managed,Owned,North America,Yes,No,None,Good,296 seats,1 ADs,19,44.5,"2,311 kg/hr",85355000.0,78792000.0,82039000.0
ATR 72-600,ATR,2006,"31,930 hrs","21,464 cycles",PW127M,"4,696 hrs","2,164 cycles",C-Check Due,MSG-3,On Lease,Africa,No,No,Major,Good,70 seats,1 ADs,3,95.9,"2,721 kg/hr",7287000.0,7655000.0,7204000.0
E175,Embraer,2009,"33,188 hrs","18,126 cycles",CF34-8E,"5,242 hrs","3,113 cycles",C-Check Due,OEM Managed,Owned,Europe,Yes,No,Major,Good,76 seats,1 ADs,59,67.4,"1,650 kg/hr",11006000.0,9963000.0,9841000.0
ATR 72-600,ATR,2019,"13,912 hrs","11,026 cycles",PW127M,"5,631 hrs","2,669 cycles",D-Check Due,MSG-3,On Lease,Latin America,Yes,No,None,Excellent,70 seats,1 ADs,11,74.8,"4,081 kg/hr",22399000.0,17417000.0,18184000.0
CRJ900,Bombardier,2022,"12,061 hrs","4,308 cycles",CF34-8C5,"3,550 hrs","2,549 cycles",Fresh D-Check,OEM Managed,On Lease,Middle East,Yes,No,None,Good,76 seats,2 ADs,13,65.5,"3,422 kg/hr",26753000.0,27855000.0,29165000.0
