campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
Hill Campus,In-person,Civics,2023 CY,6.2 hours,Required,2.69 GPA,3.1 hours,Freshman,16-week,76.0%,Lecture,Late enroll,No,Yes,54.95,1 star,13,1,0 partners,12 cr,7.0 hours,No,Large
Prairie Campus,Online,Stats,2023 CY,13.3 hours,Elective,3.22 GPA,5.4 hours,Sophomore,16-week,87.3%,Studio,On time,Yes,No,90.82,4 stars,11,1,0 partners,12 cr,8.8 hours,No,Small
River Campus,Hybrid,Biology,2022 CY,7.2 hours,Required,3.26 GPA,1.4 hours,Junior,12-week,79.5%,Lab-heavy,Late enroll,Yes,No,75.01,3 stars,12,0,2 partners,13 cr,7.0 hours,Yes,Small
River Campus,Hybrid,Chemistry,Not Available,8.3 hours,Required,2.90 GPA,3.0 hours,Sophomore,16-week,68.6%,Lab-heavy,3-year retake,Yes,No,71.1,3 stars,14,1,1 partner,12 cr,6.2 hours,No,Medium
North Campus,In-person,Civics,2022 CY,7.2 hours,Required,3.09 GPA,2.0 hours,Senior,16-week,80.1%,Lecture,2-year retake,Yes,No,75.39,3 stars,10,4,1 partner,12 cr,4.7 hours,Yes,Medium
North Campus,In-person,History,2023 CY,8.8 hours,Required,4.00 GPA,1.4 hours,Senior,10-week,94.8%,Lecture,On time,Yes,No,82.21,4 stars,13,0,3 partners,15 cr,5.2 hours,Yes,Medium
Grove Campus,In-person,Chemistry,2019 CY,14.7 hours,Required,4.00 GPA,5.8 hours,Senior,16-week,94.7%,Lecture,On time,Yes,Yes,86.41,4 stars,13,3,0 partners,15 cr,6.3 hours,No,Large
Harbor Campus,In-person,Stats,2023 CY,18.4 hours,Required,2.83 GPA,5.4 hours,Graduate,16-week,80.7%,Lecture,3-year retake,Yes,Yes,70.77,3 stars,11,6,1 partner,15 cr,6.7 hours,Yes,Small
Harbor Campus,In-person,Stats,Not Available,12.9 hours,Required,2.74 GPA,5.5 hours,Senior,10-week,95.8%,Lecture,On time,No,Yes,75.34,3 stars,12,2,0 partners,12 cr,6.2 hours,No,Medium
Prairie Campus,Hybrid,Stats,2023 CY,14.0 hours,Required,2.67 GPA,4.8 hours,Senior,16-week,76.2%,Lab-heavy,On time,No,Yes,85.59,4 stars,13,4,1 partner,16 cr,7.2 hours,Yes,Medium
Hill Campus,Hybrid,Civics,2022 CY,14.6 hours,Required,3.63 GPA,5.1 hours,Senior,16-week,76.5%,Studio,On time,No,No,81.7,3 stars,14,6,2 partners,15 cr,6.2 hours,Yes,Medium
River Campus,Online,Biology,2023 CY,9.9 hours,Required,2.97 GPA,4.2 hours,Senior,10-week,77.5%,Lecture,Late enroll,Yes,No,63.26,2 stars,12,6,0 partners,15 cr,5.8 hours,Yes,Medium
Prairie Campus,In-person,History,2021 CY,13.5 hours,Elective,3.26 GPA,3.0 hours,Senior,12-week,100.0%,Lecture,On time,Yes,No,85.32,4 stars,11,0,3 partners,12 cr,7.5 hours,Yes,Large
Hill Campus,In-person,Chemistry,2023 CY,13.0 hours,Required,4.00 GPA,6.8 hours,Graduate,16-week,90.6%,Lab-heavy,On time,No,Yes,93.58,4 stars,14,2,1 partner,12 cr,8.3 hours,No,Medium
Capitol Campus,In-person,Literature,2023 CY,9.6 hours,Required,3.15 GPA,2.0 hours,Sophomore,16-week,86.2%,Lecture,On time,No,No,76.82,3 stars,9,5,0 partners,13 cr,5.6 hours,No,Medium
Prairie Campus,In-person,Chemistry,Not Available,11.6 hours,Required,3.47 GPA,3.2 hours,Junior,12-week,98.4%,Studio,Late enroll,Yes,Yes,72.9,3 stars,12,4,0 partners,12 cr,7.1 hours,Yes,Small
Delta Campus,In-person,Literature,2022 CY,3.3 hours,Required,3.38 GPA,0.7 hours,Junior,10-week,86.1%,Lecture,On time,Yes,No,56.69,1 star,11,3,1 partner,15 cr,4.7 hours,Yes,Medium
North Campus,In-person,History,2019 CY,11.4 hours,Required,2.89 GPA,5.7 hours,Senior,10-week,100.0%,Lecture,2-year retake,Yes,Yes,88.43,4 stars,12,5,1 partner,13 cr,5.2 hours,Yes,Medium
Harbor Campus,In-person,Physics,2022 CY,4.2 hours,Required,3.63 GPA,1.5 hours,Sophomore,16-week,77.9%,Lecture,Late enroll,Yes,No,64.64,2 stars,8,4,0 partners,12 cr,6.2 hours,Yes,Medium
Delta Campus,Hybrid,History,2020 CY,3.9 hours,Required,2.77 GPA,1.7 hours,Senior,12-week,69.9%,Studio,3-year retake,Yes,No,58.89,2 stars,8,3,1 partner,12 cr,8.0 hours,Yes,Small
Delta Campus,In-person,History,2021 CY,10.5 hours,Elective,3.75 GPA,5.0 hours,Senior,16-week,81.3%,Lecture,2-year retake,Yes,Yes,91.17,4 stars,13,1,0 partners,12 cr,5.9 hours,Yes,Large
Harbor Campus,Hybrid,Algebra,2021 CY,4.9 hours,Elective,3.04 GPA,1.3 hours,Graduate,12-week,83.5%,Lab-heavy,On time,No,No,57.84,1 star,15,0,3 partners,13 cr,5.9 hours,Yes,Large
Hill Campus,In-person,Biology,2023 CY,9.1 hours,Required,2.93 GPA,3.8 hours,Sophomore,16-week,80.9%,Lecture,On time,Yes,No,72.86,3 stars,6,0,0 partners,9 cr,6.8 hours,Yes,Large
North Campus,Online,Civics,2020 CY,9.5 hours,Required,2.66 GPA,4.2 hours,Senior,16-week,100.0%,Lecture,On time,Yes,No,72.65,3 stars,10,2,1 partner,15 cr,6.8 hours,Yes,Large
River Campus,In-person,Chemistry,2020 CY,9.7 hours,Required,2.73 GPA,3.8 hours,Senior,16-week,86.2%,Studio,3-year retake,Yes,No,71.65,3 stars,11,6,2 partners,12 cr,5.9 hours,No,Small
Hill Campus,In-person,Biology,2019 CY,7.0 hours,Elective,3.11 GPA,3.4 hours,Graduate,10-week,93.6%,Lecture,On time,No,Yes,62.02,2 stars,9,8,1 partner,15 cr,9.0 hours,Yes,Medium
River Campus,In-person,Physics,2023 CY,11.4 hours,Elective,2.21 GPA,4.5 hours,Graduate,16-week,84.4%,Lecture,On time,No,No,62.07,2 stars,13,3,2 partners,18 cr,6.5 hours,Yes,Medium
Delta Campus,In-person,Literature,2023 CY,10.2 hours,Required,3.05 GPA,3.3 hours,Junior,16-week,77.2%,Lecture,Late enroll,Yes,Yes,81.54,3 stars,11,2,3 partners,16 cr,6.9 hours,Yes,Large
Capitol Campus,Hybrid,Algebra,2019 CY,10.5 hours,Required,2.92 GPA,4.4 hours,Junior,16-week,96.3%,Studio,On time,Yes,No,74.71,3 stars,9,0,0 partners,15 cr,6.4 hours,Yes,Small
North Campus,In-person,History,2019 CY,6.7 hours,Required,3.39 GPA,4.2 hours,Freshman,10-week,66.2%,Lecture,Late enroll,Yes,Yes,78.85,3 stars,9,6,0 partners,13 cr,7.3 hours,No,Small
Delta Campus,Online,Biology,2022 CY,7.9 hours,Elective,3.49 GPA,2.8 hours,Graduate,10-week,74.6%,Lecture,On time,No,No,76.11,3 stars,10,2,1 partner,15 cr,8.2 hours,Yes,Medium
Prairie Campus,In-person,Literature,2021 CY,12.0 hours,Elective,2.83 GPA,2.5 hours,Sophomore,16-week,86.5%,Studio,On time,Yes,No,69.74,2 stars,11,7,0 partners,18 cr,8.6 hours,Yes,Small
Capitol Campus,In-person,Biology,2022 CY,13.6 hours,Required,2.94 GPA,3.8 hours,Senior,12-week,100.0%,Lab-heavy,On time,No,Yes,85.37,4 stars,15,6,1 partner,15 cr,6.0 hours,No,Medium
River Campus,In-person,Algebra,2022 CY,6.5 hours,Required,3.04 GPA,2.8 hours,Senior,16-week,85.3%,Lab-heavy,On time,Yes,No,63.45,2 stars,12,7,0 partners,12 cr,8.0 hours,Yes,Small
River Campus,In-person,Algebra,Not Available,7.4 hours,Required,3.82 GPA,3.0 hours,Sophomore,12-week,93.2%,Lab-heavy,On time,Yes,No,80.72,3 stars,13,1,2 partners,16 cr,7.4 hours,Yes,Medium
Capitol Campus,Hybrid,Literature,2021 CY,6.7 hours,Elective,2.66 GPA,3.7 hours,Freshman,12-week,80.3%,Lab-heavy,2-year retake,Yes,Yes,71.85,3 stars,9,6,1 partner,9 cr,7.9 hours,No,Large
Prairie Campus,Online,Algebra,2023 CY,6.4 hours,Elective,2.71 GPA,2.8 hours,Freshman,16-week,99.0%,Lecture,On time,Yes,No,60.87,2 stars,15,4,1 partner,16 cr,6.7 hours,Yes,Medium
Capitol Campus,Online,Civics,2019 CY,4.6 hours,Required,2.64 GPA,1.4 hours,Senior,12-week,70.2%,Lecture,On time,Yes,No,62.68,2 stars,8,3,1 partner,12 cr,6.6 hours,Yes,Small
North Campus,In-person,Algebra,Not Available,8.7 hours,Required,2.48 GPA,3.6 hours,Junior,10-week,90.4%,Lab-heavy,2-year retake,Yes,No,68.75,2 stars,16,4,3 partners,12 cr,7.8 hours,No,Small
Capitol Campus,In-person,Literature,Not Available,11.1 hours,Required,3.17 GPA,2.2 hours,Freshman,16-week,81.0%,Lab-heavy,Late enroll,No,No,71.32,3 stars,13,2,1 partner,16 cr,7.9 hours,Yes,Small
Capitol Campus,Hybrid,Chemistry,2023 CY,6.6 hours,Required,3.24 GPA,1.4 hours,Senior,16-week,95.2%,Studio,On time,Yes,No,77.18,3 stars,9,4,2 partners,15 cr,8.5 hours,Yes,Small
Capitol Campus,In-person,Chemistry,2022 CY,8.2 hours,Elective,3.73 GPA,2.5 hours,Sophomore,16-week,74.8%,Lecture,2-year retake,No,No,66.53,2 stars,12,6,2 partners,15 cr,7.0 hours,Yes,Medium
Harbor Campus,In-person,Algebra,2021 CY,9.8 hours,Required,3.62 GPA,3.6 hours,Senior,12-week,89.2%,Lecture,On time,Yes,Yes,75.71,3 stars,15,6,0 partners,16 cr,6.7 hours,No,Medium
River Campus,In-person,Civics,2023 CY,13.3 hours,Elective,4.00 GPA,4.9 hours,Sophomore,16-week,88.0%,Lecture,On time,Yes,Yes,95.76,5 stars,10,8,0 partners,16 cr,4.1 hours,No,Small
Prairie Campus,Online,Civics,2023 CY,8.5 hours,Required,3.00 GPA,4.5 hours,Freshman,16-week,76.0%,Lab-heavy,On time,No,Yes,70.17,3 stars,12,4,0 partners,13 cr,5.0 hours,No,Small
Hill Campus,Online,Algebra,2021 CY,7.3 hours,Required,2.91 GPA,1.2 hours,Freshman,10-week,67.2%,Lecture,Late enroll,No,No,48.75,1 star,15,6,1 partner,18 cr,6.4 hours,Yes,Large
Harbor Campus,Online,Biology,2022 CY,6.4 hours,Required,2.56 GPA,2.3 hours,Junior,16-week,80.2%,Lab-heavy,On time,Yes,No,63.55,2 stars,11,7,1 partner,13 cr,5.6 hours,Yes,Small
Delta Campus,Online,Stats,2022 CY,5.5 hours,Required,3.46 GPA,1.0 hours,Sophomore,16-week,87.3%,Lab-heavy,On time,No,No,63.38,2 stars,12,0,0 partners,12 cr,7.7 hours,No,Medium
Hill Campus,In-person,Chemistry,2023 CY,12.2 hours,Required,3.20 GPA,6.1 hours,Senior,16-week,75.4%,Lecture,Late enroll,Yes,Yes,70.52,3 stars,11,4,3 partners,16 cr,5.4 hours,Yes,Medium
River Campus,Hybrid,Algebra,2023 CY,8.7 hours,Required,3.44 GPA,1.8 hours,Sophomore,12-week,82.7%,Lecture,On time,Yes,No,58.59,2 stars,12,5,0 partners,13 cr,6.2 hours,Yes,Small
Hill Campus,In-person,Biology,2023 CY,9.3 hours,Required,2.64 GPA,3.4 hours,Sophomore,16-week,70.1%,Lab-heavy,On time,Yes,No,69.78,2 stars,17,3,2 partners,16 cr,6.3 hours,Yes,Large
Hill Campus,Online,Literature,2023 CY,13.2 hours,Required,3.31 GPA,4.3 hours,Sophomore,16-week,76.3%,Studio,Late enroll,Yes,No,74.55,3 stars,10,0,1 partner,9 cr,8.1 hours,No,Small
Capitol Campus,In-person,Physics,2021 CY,14.8 hours,Required,3.24 GPA,5.1 hours,Sophomore,16-week,99.2%,Lecture,On time,Yes,Yes,76.52,3 stars,11,7,0 partners,12 cr,6.1 hours,Yes,Medium
Capitol Campus,Hybrid,Literature,2021 CY,3.8 hours,Required,3.36 GPA,0.9 hours,Graduate,16-week,93.1%,Lecture,On time,Yes,No,71.04,3 stars,6,3,0 partners,9 cr,7.3 hours,Yes,Medium
Delta Campus,In-person,Stats,2019 CY,12.0 hours,Elective,2.72 GPA,3.2 hours,Freshman,16-week,88.1%,Lecture,On time,No,Yes,79.59,3 stars,10,4,1 partner,15 cr,7.0 hours,No,Large
Capitol Campus,In-person,Chemistry,2023 CY,10.6 hours,Elective,3.84 GPA,3.9 hours,Graduate,16-week,85.4%,Lecture,3-year retake,No,Yes,78.25,3 stars,15,0,2 partners,16 cr,7.8 hours,No,Medium
Harbor Campus,In-person,History,2022 CY,7.6 hours,Required,4.00 GPA,1.6 hours,Sophomore,16-week,80.7%,Lecture,On time,No,No,81.48,3 stars,12,0,0 partners,13 cr,7.7 hours,No,Large
Delta Campus,In-person,Chemistry,2022 CY,9.5 hours,Elective,2.53 GPA,1.8 hours,Freshman,16-week,100.0%,Studio,On time,No,No,77.29,3 stars,9,4,1 partner,12 cr,6.8 hours,Yes,Medium
Hill Campus,In-person,History,2021 CY,3.0 hours,Elective,3.47 GPA,1.1 hours,Sophomore,16-week,100.0%,Studio,On time,Yes,No,76.08,3 stars,12,7,1 partner,13 cr,4.9 hours,Yes,Medium
River Campus,Online,Biology,2021 CY,13.2 hours,Elective,1.73 GPA,2.8 hours,Freshman,10-week,87.6%,Lecture,On time,Yes,No,66.98,2 stars,12,5,0 partners,13 cr,6.5 hours,Yes,Medium
River Campus,In-person,Algebra,2022 CY,10.7 hours,Required,3.45 GPA,2.3 hours,Senior,16-week,100.0%,Lecture,3-year retake,Yes,No,80.69,3 stars,13,7,1 partner,15 cr,6.8 hours,Yes,Medium
North Campus,Hybrid,History,2021 CY,7.7 hours,Required,2.31 GPA,3.1 hours,Junior,10-week,79.2%,Lecture,On time,Yes,Yes,64.18,2 stars,14,6,1 partner,15 cr,7.1 hours,No,Medium
Prairie Campus,In-person,Physics,2019 CY,7.2 hours,Required,2.91 GPA,2.1 hours,Sophomore,16-week,76.5%,Lab-heavy,On time,Yes,No,63.3,2 stars,14,2,2 partners,12 cr,6.0 hours,Yes,Small
Hill Campus,Online,Algebra,2023 CY,4.4 hours,Elective,2.56 GPA,2.5 hours,Junior,16-week,78.9%,Lecture,On time,Yes,Yes,65.35,2 stars,8,1,1 partner,13 cr,8.1 hours,Yes,Small
Prairie Campus,In-person,Chemistry,2021 CY,8.9 hours,Elective,3.05 GPA,4.3 hours,Junior,16-week,86.8%,Lab-heavy,On time,Yes,Yes,65.06,2 stars,16,4,0 partners,15 cr,6.8 hours,Yes,Medium
River Campus,Online,Literature,2022 CY,7.6 hours,Required,3.68 GPA,2.5 hours,Graduate,12-week,100.0%,Lecture,On time,Yes,No,75.2,3 stars,8,4,2 partners,12 cr,5.8 hours,Yes,Small
North Campus,Online,Literature,2022 CY,4.9 hours,Required,2.46 GPA,1.4 hours,Graduate,16-week,77.2%,Lab-heavy,3-year retake,Yes,No,45.21,1 star,14,6,0 partners,13 cr,6.3 hours,No,Medium
Prairie Campus,In-person,Physics,2023 CY,12.4 hours,Elective,2.99 GPA,4.5 hours,Junior,12-week,80.4%,Lecture,On time,Yes,Yes,83.49,4 stars,13,5,3 partners,15 cr,8.9 hours,Yes,Small
Harbor Campus,Hybrid,Civics,2021 CY,12.6 hours,Elective,2.92 GPA,2.9 hours,Senior,16-week,77.0%,Lab-heavy,On time,Yes,No,76.6,3 stars,11,7,1 partner,13 cr,7.5 hours,Yes,Medium
Harbor Campus,In-person,Physics,2023 CY,9.0 hours,Required,3.86 GPA,3.3 hours,Senior,16-week,100.0%,Lab-heavy,On time,No,No,74.27,3 stars,13,6,0 partners,9 cr,8.0 hours,Yes,Medium
Capitol Campus,In-person,Algebra,Not Available,8.1 hours,Required,3.34 GPA,2.0 hours,Junior,16-week,99.0%,Lecture,On time,Yes,No,78.62,3 stars,12,4,1 partner,12 cr,5.7 hours,Yes,Medium
Harbor Campus,Online,Chemistry,2023 CY,10.5 hours,Required,2.62 GPA,4.3 hours,Senior,12-week,81.1%,Lecture,On time,No,No,55.76,1 star,13,4,0 partners,16 cr,6.0 hours,Yes,Medium
River Campus,Hybrid,Literature,2022 CY,9.0 hours,Required,2.82 GPA,2.9 hours,Freshman,16-week,67.2%,Lab-heavy,On time,No,No,63.46,2 stars,12,0,2 partners,12 cr,6.1 hours,No,Small
River Campus,In-person,Biology,2023 CY,5.6 hours,Required,3.85 GPA,1.9 hours,Senior,16-week,77.7%,Lab-heavy,On time,Yes,No,79.65,3 stars,14,6,3 partners,16 cr,7.0 hours,Yes,Small
Grove Campus,In-person,Algebra,2022 CY,6.4 hours,Elective,3.62 GPA,1.9 hours,Graduate,16-week,100.0%,Lecture,Late enroll,Yes,No,79.38,3 stars,12,5,1 partner,13 cr,6.6 hours,Yes,Medium
Grove Campus,Hybrid,Biology,2022 CY,7.6 hours,Elective,2.62 GPA,3.3 hours,Freshman,16-week,86.9%,Lecture,2-year retake,Yes,No,58.87,2 stars,8,7,1 partner,13 cr,6.3 hours,No,Large
North Campus,Online,Chemistry,2022 CY,9.9 hours,Required,3.03 GPA,2.7 hours,Senior,16-week,86.7%,Lecture,On time,Yes,No,68.89,2 stars,14,0,1 partner,16 cr,6.4 hours,Yes,Medium
Hill Campus,Hybrid,History,2021 CY,10.5 hours,Required,3.19 GPA,4.1 hours,Graduate,12-week,98.7%,Lab-heavy,2-year retake,Yes,Yes,76.86,3 stars,12,1,1 partner,13 cr,5.9 hours,Yes,Medium
Grove Campus,In-person,Biology,2020 CY,11.2 hours,Required,2.79 GPA,5.9 hours,Freshman,10-week,100.0%,Lab-heavy,On time,No,Yes,75.87,3 stars,13,7,0 partners,12 cr,6.6 hours,Yes,Medium
North Campus,Online,Civics,2022 CY,5.6 hours,Required,2.38 GPA,3.1 hours,Junior,16-week,85.6%,Lecture,On time,No,Yes,68.46,2 stars,11,5,3 partners,12 cr,8.0 hours,Yes,Medium
North Campus,In-person,Stats,2020 CY,11.2 hours,Required,3.00 GPA,3.2 hours,Graduate,16-week,82.8%,Lab-heavy,Late enroll,Yes,No,71.48,3 stars,12,4,0 partners,15 cr,5.1 hours,Yes,Medium
Prairie Campus,Hybrid,Biology,2022 CY,9.1 hours,Required,3.93 GPA,2.1 hours,Graduate,10-week,80.2%,Lab-heavy,On time,Yes,No,77.84,3 stars,15,3,0 partners,13 cr,7.2 hours,No,Medium
Hill Campus,In-person,Stats,2022 CY,17.3 hours,Required,2.86 GPA,3.9 hours,Freshman,16-week,86.2%,Lab-heavy,On time,Yes,No,83.85,4 stars,17,5,0 partners,16 cr,8.3 hours,No,Small
River Campus,Online,Algebra,Not Available,7.9 hours,Required,3.10 GPA,3.1 hours,Sophomore,16-week,65.1%,Lecture,Late enroll,No,No,60.2,2 stars,8,5,3 partners,13 cr,6.6 hours,Yes,Small
Grove Campus,In-person,Stats,2019 CY,10.1 hours,Required,3.21 GPA,2.4 hours,Junior,10-week,74.1%,Lecture,On time,Yes,No,75.88,3 stars,13,1,3 partners,13 cr,6.2 hours,Yes,Medium
Prairie Campus,Online,Stats,2023 CY,17.6 hours,Elective,4.00 GPA,2.7 hours,Freshman,16-week,62.8%,Lecture,2-year retake,Yes,No,85.91,4 stars,12,6,0 partners,12 cr,7.8 hours,Yes,Medium
Hill Campus,Online,Algebra,2022 CY,9.7 hours,Required,3.15 GPA,1.5 hours,Sophomore,16-week,96.8%,Lecture,On time,No,No,72.95,3 stars,13,3,0 partners,12 cr,5.7 hours,Yes,Large
Harbor Campus,In-person,Physics,2019 CY,8.9 hours,Required,3.52 GPA,3.9 hours,Freshman,16-week,67.4%,Lecture,Late enroll,Yes,No,65.1,2 stars,13,4,2 partners,16 cr,6.8 hours,Yes,Medium
Capitol Campus,Hybrid,Stats,2021 CY,5.3 hours,Elective,2.76 GPA,1.7 hours,Freshman,10-week,100.0%,Lecture,On time,Yes,No,70.54,3 stars,11,4,1 partner,12 cr,5.7 hours,Yes,Small
Hill Campus,In-person,Stats,2020 CY,15.4 hours,Required,3.03 GPA,5.8 hours,Junior,16-week,81.7%,Lecture,On time,Yes,Yes,77.56,3 stars,12,5,3 partners,16 cr,4.7 hours,Yes,Large
Delta Campus,Online,Stats,2021 CY,5.4 hours,Required,3.16 GPA,2.3 hours,Junior,16-week,100.0%,Lab-heavy,On time,Yes,No,68.43,2 stars,10,2,2 partners,9 cr,6.6 hours,No,Small
North Campus,In-person,Literature,2021 CY,10.5 hours,Required,2.80 GPA,2.7 hours,Junior,16-week,79.3%,Lecture,Late enroll,Yes,No,67.88,2 stars,10,0,2 partners,15 cr,5.4 hours,No,Large
North Campus,In-person,Algebra,2022 CY,7.6 hours,Required,3.06 GPA,3.0 hours,Senior,16-week,73.3%,Lab-heavy,On time,Yes,No,59.84,2 stars,10,1,0 partners,9 cr,6.8 hours,Yes,Small
Prairie Campus,In-person,Civics,2022 CY,8.5 hours,Required,3.55 GPA,3.1 hours,Sophomore,16-week,95.8%,Lecture,2-year retake,Yes,No,78.09,3 stars,11,7,1 partner,16 cr,8.0 hours,Yes,Medium
Capitol Campus,In-person,Literature,2019 CY,4.5 hours,Required,2.79 GPA,1.3 hours,Sophomore,10-week,100.0%,Lecture,On time,No,No,71.51,3 stars,12,1,3 partners,12 cr,8.8 hours,Yes,Medium
Capitol Campus,In-person,Literature,2020 CY,13.4 hours,Required,3.03 GPA,5.1 hours,Freshman,16-week,79.9%,Lecture,On time,Yes,No,67.34,2 stars,12,1,0 partners,15 cr,6.9 hours,Yes,Medium
Capitol Campus,Online,History,2020 CY,9.6 hours,Required,3.35 GPA,5.4 hours,Freshman,16-week,82.7%,Lab-heavy,On time,No,Yes,79.94,3 stars,15,8,2 partners,16 cr,7.9 hours,Yes,Small
