branch,channel,product_class,orig_vintage,annual_income_usd,purpose,other_debt_usd,requested_usd,employment_status,term_months,note_rate,complexity,file_timing,digital_app,existing_customer,offer_amount,bureau_stars,Number of Inquiries,Number of Trades,borrowers,down_payment_usd,reserves_usd,state_resident,collateral
Central Branch,Branch,Card,2023 VY,"$83,000",Purchase,"$13,860","$6,600",Self-employed,24-month,16.94%,Simple,On time,No,No,4897.92,2 stars,0,11,1 borrower,$0,"$7,820",Yes,Real-estate
Highland Branch,Branch,Mortgage,2023 VY,"$74,400",Purchase,"$4,670","$267,600",Employed,360-month,4.99%,Full-doc,On time,Yes,No,257691.32,3 stars,6,10,1 borrower,"$13,730","$12,810",Yes,Auto
North Branch,Online,Student,2019 VY,"$16,100",Purchase,"$3,040","$24,100",Self-employed,120-month,6.46%,Simple,On time,No,Yes,23681.05,5 stars,3,7,1 borrower,$0,"$3,750",Yes,Unsecured
Prairie Branch,Online,HELOC,2023 VY,"$95,000",Purchase,"$14,320","$53,400",Contract,90-month,6.57%,Schedule-heavy,On time,Yes,No,42538.9,2 stars,4,13,2 borrowers,"$2,750","$23,590",Yes,Real-estate
Capitol Branch,Branch,Ag,2021 VY,"$104,300",Purchase,"$31,720","$124,800",Employed,126-month,5.93%,Schedule-heavy,Late docs,Yes,Yes,102481.29,3 stars,7,18,1 borrower,$0,"$12,080",Yes,Real-estate
Highland Branch,Broker,Auto,2023 VY,"$65,200",Purchase,"$19,230","$18,000",Employed,60-month,8.79%,Simple,On time,Yes,No,12254.68,3 stars,5,10,2 borrowers,"$2,010","$9,390",No,Unsecured
Harbor Branch,Branch,Auto,2022 VY,"$56,100",Purchase,"$15,420","$29,700",Employed,90-month,4.84%,Simple,Late docs,No,Yes,26186.09,3 stars,6,12,1 borrower,"$7,430","$3,320",No,Auto
North Branch,Broker,Auto,2021 VY,"$29,000",Purchase,"$2,810","$27,900",Employed,60-month,5.61%,Simple,On time,Yes,Yes,27870.08,5 stars,3,9,2 borrowers,"$1,470","$5,210",Yes,Unsecured
Highland Branch,Branch,Auto,2020 VY,"$56,800",Purchase,"$16,800","$16,600",Employed,60-month,7.06%,Simple,Late docs,Yes,Yes,13484.08,4 stars,3,13,2 borrowers,"$1,200","$12,080",Yes,Unsecured
Delta Branch,Branch,SME,2020 VY,"$165,500",Purchase,"$25,020","$72,400",Public,30-month,6.02%,Schedule-heavy,On time,Yes,No,61140.17,3 stars,0,22,2 borrowers,$0,"$33,710",No,Real-estate
River Branch,Broker,Ag,2020 VY,"$35,000",Refinance,"$14,720","$88,200",Employed,84-month,4.07%,Schedule-heavy,Late docs,Yes,Yes,59357.78,3 stars,6,9,1 borrower,$0,"$3,480",Yes,Auto
Central Branch,Branch,Ag,2023 VY,"$64,700",Purchase,"$17,500","$68,300",Self-employed,84-month,4.62%,Schedule-heavy,Late docs,No,Yes,59342.63,3 stars,8,13,1 borrower,$0,"$15,630",Yes,Auto
Central Branch,Branch,Mortgage,2021 VY,"$79,600",Refinance,"$20,660","$268,400",Contract,360-month,6.75%,Full-doc,On time,Yes,No,226016.98,3 stars,4,11,2 borrowers,"$45,590","$3,800",Yes,Auto
North Branch,Branch,SME,2021 VY,"$78,600",Purchase,"$28,930","$36,300",Employed,60-month,7.97%,Schedule-heavy,On time,Yes,No,25589.67,2 stars,5,10,1 borrower,$0,"$10,500",Yes,Auto
Capitol Branch,Branch,HELOC,2023 VY,"$94,900",Purchase,"$23,420","$67,600",Employed,180-month,10.13%,Schedule-heavy,Late docs,No,Yes,40129.79,2 stars,2,18,3 borrowers,"$4,070","$14,000",No,Unsecured
Prairie Branch,Online,Card,2023 VY,"$62,400",Refinance,"$17,420","$8,800",Employed,24-month,13.00%,Simple,On time,Yes,No,9103.45,4 stars,1,8,1 borrower,$0,"$8,950",No,Real-estate
Harbor Branch,Broker,Personal,2022 VY,"$59,800",Purchase,"$7,070","$13,700",Self-employed,36-month,7.13%,Simple,Late docs,Yes,No,10516.76,3 stars,10,8,1 borrower,$0,"$11,620",Yes,Auto
Harbor Branch,Broker,Mortgage,Not Available,"$60,700",Purchase,"$17,780","$270,300",Employed,360-month,6.89%,Full-doc,3-year prior,Yes,Yes,207637.04,2 stars,8,12,1 borrower,"$70,030","$9,720",Yes,Auto
Delta Branch,Branch,HELOC,2022 VY,"$41,900",Purchase,"$6,930","$47,100",Contract,270-month,6.45%,Schedule-heavy,2-year prior,Yes,No,36358.97,3 stars,8,7,2 borrowers,"$7,560","$1,580",Yes,Auto
Delta Branch,Online,Auto,2023 VY,"$63,200",Purchase,"$3,460","$17,400",Public,60-month,7.53%,Simple,On time,Yes,No,16691.67,4 stars,0,10,3 borrowers,"$3,930","$3,880",Yes,Unsecured
Central Branch,Branch,Mortgage,2019 VY,"$75,800",Purchase,"$28,110","$219,700",Contract,360-month,11.34%,Full-doc,On time,Yes,Yes,134395.41,2 stars,4,14,1 borrower,"$53,850","$10,800",Yes,Unsecured
River Branch,Branch,Ag,2023 VY,"$127,100",Purchase,"$10,560","$54,400",Retired,84-month,12.07%,Schedule-heavy,3-year prior,Yes,Yes,33007.0,2 stars,8,20,1 borrower,$0,"$22,850",Yes,Unsecured
River Branch,Branch,Ag,Not Available,"$128,500",Purchase,"$38,860","$114,600",Contract,84-month,5.82%,Schedule-heavy,On time,No,Yes,116572.11,4 stars,0,21,1 borrower,$0,"$17,770",No,Unsecured
Prairie Branch,Broker,Card,2023 VY,"$91,800",Purchase,"$10,440","$10,600",Public,24-month,12.90%,Simple,On time,No,Yes,10629.82,3 stars,7,19,4 borrowers,$0,"$9,340",Yes,Auto
Capitol Branch,Broker,Student,2022 VY,"$19,500",Purchase,"$6,050","$11,900",Public,120-month,7.90%,Simple,On time,No,No,8868.17,2 stars,6,5,3 borrowers,$0,$620,Yes,Real-estate
Harbor Branch,Online,Auto,2023 VY,"$69,400",Purchase,"$25,730","$37,700",Contract,60-month,9.64%,Simple,Late docs,Yes,No,21463.43,2 stars,5,9,1 borrower,"$6,790","$13,930",Yes,Unsecured
Prairie Branch,Online,Auto,2021 VY,"$75,400",Refinance,"$7,610","$18,700",Public,60-month,7.01%,Simple,On time,Yes,No,18435.69,4 stars,4,11,2 borrowers,"$4,690","$10,130",Yes,Unsecured
Capitol Branch,Online,Mortgage,2023 VY,"$116,300",Purchase,"$35,090","$242,500",Retired,360-month,8.94%,Full-doc,On time,No,Yes,152830.14,1 star,7,20,2 borrowers,"$25,100","$16,740",Yes,Auto
Delta Branch,Online,Mortgage,2023 VY,"$80,700",Purchase,"$22,190","$315,400",Employed,360-month,9.26%,Full-doc,On time,No,Yes,259440.99,3 stars,6,16,2 borrowers,"$80,660","$10,320",No,Unsecured
Prairie Branch,Online,Mortgage,Not Available,"$132,900",Purchase,"$49,550","$74,500",Self-employed,360-month,6.48%,Full-doc,Late docs,Yes,Yes,56592.73,2 stars,7,22,2 borrowers,"$10,530","$10,770",Yes,Real-estate
North Branch,Branch,SME,2022 VY,"$110,000",Purchase,"$9,430","$77,900",Employed,60-month,11.87%,Schedule-heavy,On time,Yes,No,43254.71,1 star,7,15,2 borrowers,$0,"$9,190",Yes,Unsecured
Delta Branch,Branch,Auto,2019 VY,"$60,600",Purchase,"$21,190","$17,600",Public,60-month,9.73%,Simple,2-year prior,Yes,Yes,13756.39,3 stars,7,13,2 borrowers,"$2,210","$2,100",Yes,Unsecured
River Branch,Branch,Student,2022 VY,"$14,200",Purchase,"$1,140","$19,300",Employed,120-month,10.08%,Simple,Late docs,Yes,No,9973.16,2 stars,10,2,1 borrower,$0,"$2,600",Yes,Unsecured
North Branch,Broker,Auto,2020 VY,"$70,900",Purchase,"$12,430","$24,800",Public,60-month,6.48%,Simple,3-year prior,Yes,No,17909.89,3 stars,7,9,1 borrower,"$1,520","$5,850",Yes,Real-estate
North Branch,Online,Auto,2021 VY,"$52,800",Refinance,"$9,600","$21,400",Contract,60-month,9.25%,Simple,2-year prior,Yes,Yes,13059.6,2 stars,3,11,1 borrower,"$1,390","$4,680",Yes,Unsecured
River Branch,Broker,Personal,2021 VY,"$60,400",Refinance,"$9,930","$13,400",Retired,18-month,10.60%,Simple,On time,No,No,8608.73,2 stars,5,8,1 borrower,$0,"$15,010",Yes,Auto
Capitol Branch,Branch,Personal,2023 VY,"$56,200",Purchase,"$13,340","$19,200",Employed,36-month,14.39%,Simple,On time,Yes,No,11432.52,2 stars,2,8,1 borrower,$0,"$6,110",Yes,Unsecured
Delta Branch,Online,HELOC,2020 VY,"$93,100",Purchase,"$7,670","$60,800",Contract,180-month,11.18%,Schedule-heavy,On time,Yes,No,39247.56,2 stars,3,13,2 borrowers,"$11,650","$12,800",Yes,Unsecured
Harbor Branch,Branch,Mortgage,2020 VY,"$90,500",Purchase,"$18,460","$243,500",Contract,360-month,5.01%,Full-doc,3-year prior,Yes,No,197343.7,3 stars,4,14,3 borrowers,"$14,300","$9,850",No,Real-estate
Capitol Branch,Branch,Auto,2019 VY,"$73,700",Refinance,"$20,120","$23,100",Retired,60-month,8.86%,Simple,On time,No,Yes,18753.11,3 stars,5,14,1 borrower,"$2,050","$6,390",Yes,Unsecured
Harbor Branch,Branch,Student,2023 VY,"$26,200",Refinance,"$7,090","$29,600",Public,120-month,8.70%,Simple,On time,No,No,20425.48,3 stars,6,4,1 borrower,$0,$560,Yes,Unsecured
North Branch,Branch,Mortgage,2023 VY,"$45,400",Purchase,"$4,570","$254,500",Self-employed,360-month,7.46%,Full-doc,Late docs,Yes,Yes,170622.74,2 stars,6,11,2 borrowers,"$38,510","$9,830",Yes,Auto
Delta Branch,Broker,Personal,2019 VY,"$62,200",Purchase,"$11,600","$11,500",Self-employed,36-month,10.15%,Simple,On time,Yes,No,10241.29,2 stars,5,9,2 borrowers,$0,"$8,010",Yes,Real-estate
Delta Branch,Branch,Auto,2019 VY,"$41,800",Purchase,"$7,270","$7,300",Employed,60-month,8.47%,Simple,Late docs,No,Yes,4958.69,3 stars,4,10,1 borrower,$600,"$7,760",No,Unsecured
North Branch,Online,Personal,2022 VY,"$28,200",Refinance,"$8,080","$7,000",Retired,36-month,10.99%,Simple,On time,No,No,6788.91,3 stars,5,5,2 borrowers,$0,"$6,780",Yes,Unsecured
Prairie Branch,Branch,SME,2021 VY,"$64,000",Refinance,"$25,780","$71,100",Employed,60-month,6.50%,Schedule-heavy,On time,Yes,No,59553.32,2 stars,0,9,1 borrower,$0,"$1,320",Yes,Real-estate
Highland Branch,Branch,Auto,2022 VY,"$63,700",Purchase,"$17,030","$21,200",Contract,60-month,8.17%,Simple,On time,No,Yes,13539.03,1 star,7,12,1 borrower,"$4,400","$11,160",No,Auto
Harbor Branch,Online,Personal,2022 VY,"$50,300",Purchase,"$13,980","$11,300",Contract,54-month,8.20%,Simple,On time,Yes,Yes,11202.38,2 stars,3,12,2 borrowers,$0,"$2,380",Yes,Real-estate
Harbor Branch,Branch,Personal,Not Available,"$14,000",Purchase,$320,"$15,700",Employed,36-month,9.82%,Simple,On time,Yes,No,12850.07,2 stars,4,3,2 borrowers,$0,"$1,750",Yes,Real-estate
Delta Branch,Broker,SME,2021 VY,"$92,700",Refinance,"$36,140","$68,100",Employed,30-month,6.55%,Schedule-heavy,2-year prior,Yes,Yes,46808.33,2 stars,9,16,1 borrower,$0,"$19,910",No,Auto
Prairie Branch,Online,Personal,2023 VY,"$73,000",Refinance,"$10,880","$9,500",Employed,36-month,13.01%,Simple,On time,Yes,No,5255.42,2 stars,0,11,2 borrowers,$0,"$2,660",Yes,Unsecured
Highland Branch,Online,HELOC,2019 VY,"$75,400",Purchase,"$11,490","$66,800",Public,180-month,8.27%,Schedule-heavy,On time,Yes,No,57883.2,4 stars,7,12,3 borrowers,"$6,610","$18,670",Yes,Unsecured
North Branch,Branch,Personal,Not Available,"$49,000",Purchase,"$5,940","$20,700",Employed,36-month,8.41%,Simple,2-year prior,Yes,Yes,15887.9,2 stars,7,11,1 borrower,$0,"$7,530",No,Auto
Highland Branch,Branch,SME,Not Available,"$156,900",Purchase,"$12,080","$52,100",Employed,60-month,5.65%,Schedule-heavy,Late docs,No,No,44068.03,3 stars,9,21,2 borrowers,$0,"$17,390",Yes,Auto
Highland Branch,Broker,Mortgage,2023 VY,"$117,500",Purchase,"$39,030","$260,500",Contract,360-month,7.76%,Full-doc,On time,Yes,No,178492.5,2 stars,4,15,1 borrower,"$27,270","$2,880",Yes,Real-estate
Highland Branch,Branch,Mortgage,2022 VY,"$124,700",Refinance,"$16,280","$80,000",Employed,360-month,7.80%,Full-doc,2-year prior,No,No,54381.82,2 stars,4,16,1 borrower,"$16,660","$19,320",Yes,Auto
River Branch,Branch,Personal,2021 VY,"$14,000",Purchase,"$1,800","$6,800",Public,36-month,13.42%,Simple,On time,Yes,Yes,3522.36,2 stars,4,6,1 borrower,$0,"$1,870",No,Unsecured
Harbor Branch,Branch,HELOC,2023 VY,"$136,500",Refinance,"$16,160","$43,700",Employed,180-month,5.90%,Schedule-heavy,On time,Yes,Yes,38459.08,3 stars,4,22,1 borrower,"$3,710","$9,490",No,Auto
Prairie Branch,Online,Card,2023 VY,"$66,100",Purchase,"$26,400","$11,200",Employed,36-month,14.68%,Simple,On time,No,Yes,9817.45,2 stars,7,13,1 borrower,$0,"$8,780",No,Auto
Capitol Branch,Online,Personal,2021 VY,"$96,300",Purchase,"$31,740","$10,200",Employed,36-month,8.03%,Simple,Late docs,No,No,8598.87,3 stars,4,14,2 borrowers,$0,"$2,210",Yes,Auto
River Branch,Online,Personal,2022 VY,"$37,900",Purchase,"$13,890","$10,000",Employed,36-month,8.51%,Simple,On time,No,No,7269.11,3 stars,3,5,1 borrower,$0,"$9,470",Yes,Real-estate
North Branch,Online,Card,2022 VY,"$20,500",Purchase,"$6,170","$8,100",Employed,24-month,11.28%,Simple,On time,No,No,7380.15,4 stars,1,5,3 borrowers,$0,"$1,980",No,Auto
Capitol Branch,Branch,Mortgage,2023 VY,"$92,200",Purchase,"$36,080","$243,100",Contract,360-month,10.42%,Full-doc,Late docs,Yes,Yes,151509.15,2 stars,3,16,1 borrower,"$42,480","$12,030",Yes,Unsecured
Harbor Branch,Broker,Personal,2023 VY,"$47,000",Purchase,"$10,270","$10,200",Employed,36-month,9.11%,Simple,On time,Yes,No,7847.42,2 stars,4,7,2 borrowers,$0,"$9,420",Yes,Auto
Capitol Branch,Branch,Personal,2023 VY,"$63,800",Purchase,"$6,750","$23,700",Employed,36-month,9.99%,Simple,On time,Yes,No,16884.57,2 stars,2,9,2 borrowers,$0,"$11,740",Yes,Auto
Capitol Branch,Online,SME,2023 VY,"$158,400",Purchase,"$27,540","$77,100",Employed,60-month,6.45%,Schedule-heavy,Late docs,Yes,No,57638.74,3 stars,5,20,1 borrower,$0,"$35,540",No,Real-estate
Delta Branch,Branch,Student,2021 VY,"$27,200",Purchase,"$5,710","$18,700",Employed,120-month,3.90%,Simple,On time,Yes,Yes,21134.43,4 stars,0,9,2 borrowers,$0,"$6,430",Yes,Auto
Highland Branch,Broker,SME,2021 VY,"$99,200",Purchase,"$29,030","$73,000",Retired,60-month,6.23%,Schedule-heavy,On time,Yes,No,64121.37,3 stars,7,14,2 borrowers,$0,"$6,300",Yes,Auto
North Branch,Branch,Card,2019 VY,"$63,900",Refinance,"$3,960","$9,200",Employed,24-month,14.50%,Simple,On time,No,Yes,7233.87,3 stars,6,13,2 borrowers,$0,"$7,020",No,Auto
Delta Branch,Branch,Mortgage,2023 VY,"$83,800",Refinance,"$8,150","$343,700",Retired,360-month,6.22%,Full-doc,3-year prior,No,Yes,259526.84,2 stars,3,15,1 borrower,"$72,390","$14,910",No,Auto
River Branch,Branch,Auto,2022 VY,"$51,200",Purchase,"$14,780","$34,800",Employed,60-month,9.31%,Simple,On time,No,No,23363.32,3 stars,1,8,2 borrowers,"$9,130","$1,550",No,Unsecured
North Branch,Branch,Mortgage,2022 VY,"$125,200",Refinance,"$11,270","$176,000",Employed,360-month,3.90%,Full-doc,On time,No,No,180154.58,4 stars,6,17,2 borrowers,"$28,620","$23,150",Yes,Real-estate
Capitol Branch,Branch,Auto,2021 VY,"$83,200",Refinance,"$2,780","$30,500",Employed,60-month,3.90%,Simple,On time,Yes,Yes,32146.23,4 stars,6,15,1 borrower,"$2,220","$1,760",Yes,Real-estate
Harbor Branch,Online,Auto,2021 VY,"$79,700",Refinance,"$8,250","$26,200",Employed,60-month,5.61%,Simple,On time,Yes,No,22986.07,3 stars,7,11,2 borrowers,"$5,930","$18,350",Yes,Auto
Harbor Branch,Branch,Personal,2022 VY,"$49,000",Purchase,"$15,440","$18,800",Contract,36-month,10.03%,Simple,3-year prior,No,No,10218.4,2 stars,7,7,1 borrower,$0,"$9,070",Yes,Auto
Delta Branch,Broker,Auto,2021 VY,"$15,200",Purchase,$370,"$21,300",Employed,60-month,7.73%,Simple,On time,No,Yes,17705.96,3 stars,5,6,1 borrower,"$4,810","$2,280",No,Unsecured
Prairie Branch,Branch,Student,2019 VY,"$26,700",Purchase,"$1,850","$16,800",Employed,120-month,5.37%,Simple,On time,Yes,No,15123.68,3 stars,5,5,2 borrowers,$0,"$3,170",Yes,Auto
Capitol Branch,Online,Personal,2023 VY,"$38,400",Refinance,"$2,850","$18,600",Self-employed,36-month,8.26%,Simple,On time,Yes,Yes,17494.38,3 stars,1,12,4 borrowers,$0,"$9,490",Yes,Auto
Prairie Branch,Branch,Mortgage,2021 VY,"$87,800",Refinance,"$28,190","$320,200",Self-employed,360-month,7.91%,Full-doc,On time,Yes,Yes,268157.8,2 stars,4,15,1 borrower,"$73,580","$16,630",Yes,Auto
Harbor Branch,Online,SME,2022 VY,"$79,800",Purchase,"$8,690","$131,600",Retired,60-month,7.56%,Schedule-heavy,On time,Yes,Yes,117960.9,4 stars,2,14,1 borrower,$0,"$16,410",Yes,Unsecured
Delta Branch,Online,SME,2022 VY,"$109,100",Purchase,"$4,240","$90,900",Retired,60-month,6.81%,Schedule-heavy,3-year prior,Yes,No,62879.85,2 stars,6,14,1 borrower,$0,"$22,890",No,Auto
Prairie Branch,Branch,Student,2023 VY,"$18,600",Refinance,"$8,080","$17,300",Contract,120-month,7.75%,Simple,Late docs,Yes,Yes,15886.34,3 stars,9,8,2 borrowers,$0,$470,Yes,Unsecured
River Branch,Broker,HELOC,2021 VY,"$52,100",Refinance,"$20,970","$7,600",Public,180-month,3.90%,Schedule-heavy,On time,Yes,Yes,7201.84,4 stars,0,11,1 borrower,"$1,870","$1,700",Yes,Auto
River Branch,Branch,Student,2023 VY,"$39,000",Purchase,"$4,270","$7,800",Contract,120-month,5.70%,Simple,On time,No,No,8387.4,3 stars,0,5,1 borrower,$0,"$2,560",Yes,Auto
Highland Branch,Branch,Personal,Not Available,"$34,500",Purchase,"$4,490","$12,100",Employed,36-month,11.23%,Simple,On time,Yes,No,10044.93,3 stars,2,5,1 borrower,$0,"$5,890",Yes,Unsecured
River Branch,Online,Mortgage,2023 VY,"$92,000",Purchase,"$10,790","$147,500",Contract,360-month,3.90%,Full-doc,On time,No,No,150592.0,5 stars,0,14,3 borrowers,"$19,510","$15,040",Yes,Auto
Harbor Branch,Broker,SME,2022 VY,"$153,000",Purchase,"$47,930","$109,200",Employed,30-month,6.13%,Schedule-heavy,On time,No,No,94387.32,3 stars,0,20,1 borrower,$0,"$14,500",No,Real-estate
Harbor Branch,Branch,Auto,2023 VY,"$76,300",Purchase,"$9,000","$11,900",Contract,60-month,7.56%,Simple,On time,Yes,Yes,10329.2,2 stars,7,15,2 borrowers,"$2,910","$18,600",Yes,Auto
Central Branch,Branch,Personal,2022 VY,"$66,300",Refinance,"$25,340","$11,500",Retired,36-month,12.61%,Simple,Late docs,No,Yes,7318.42,2 stars,4,13,1 borrower,$0,"$2,750",Yes,Unsecured
Central Branch,Broker,Auto,2022 VY,"$64,100",Refinance,"$22,370","$18,400",Employed,60-month,4.89%,Simple,2-year prior,Yes,No,17292.79,4 stars,8,9,1 borrower,"$4,620","$12,730",Yes,Auto
Delta Branch,Online,Mortgage,2022 VY,"$115,200",Purchase,"$30,660","$341,200",Public,360-month,11.03%,Full-doc,On time,Yes,No,211011.94,2 stars,4,15,1 borrower,"$21,860","$15,050",Yes,Unsecured
Capitol Branch,Broker,Auto,2021 VY,"$85,500",Purchase,"$3,720","$17,300",Retired,60-month,8.33%,Simple,2-year prior,Yes,Yes,12057.62,2 stars,7,15,1 borrower,"$1,310","$9,950",Yes,Auto
Central Branch,Online,Personal,2020 VY,"$59,700",Purchase,"$22,690","$16,200",Employed,36-month,6.60%,Simple,On time,No,Yes,16665.19,4 stars,5,12,1 borrower,$0,"$1,550",Yes,Auto
North Branch,Online,HELOC,2022 VY,"$36,600",Purchase,"$9,760","$58,800",Self-employed,180-month,9.43%,Schedule-heavy,On time,No,Yes,46325.5,3 stars,1,9,1 borrower,"$11,080","$6,860",Yes,Unsecured
Delta Branch,Branch,Card,2020 VY,"$44,000",Purchase,"$15,730","$10,500",Retired,24-month,14.30%,Simple,Late docs,Yes,Yes,9027.57,2 stars,4,10,1 borrower,$0,"$8,690",Yes,Auto
Prairie Branch,Broker,Personal,2022 VY,"$64,500",Purchase,"$4,340","$18,200",Retired,36-month,7.21%,Simple,On time,Yes,No,18455.14,3 stars,3,9,1 borrower,$0,"$6,020",No,Real-estate
Capitol Branch,Branch,Card,2022 VY,"$42,100",Purchase,"$16,080","$7,900",Employed,24-month,15.38%,Simple,On time,Yes,No,4562.27,2 stars,2,6,1 borrower,$0,"$5,850",No,Real-estate
Harbor Branch,Online,Personal,Not Available,"$81,200",Purchase,"$27,610","$5,700",Employed,54-month,14.69%,Simple,Late docs,No,Yes,3145.2,1 star,7,15,1 borrower,$0,"$12,950",Yes,Unsecured
Central Branch,Branch,Card,2019 VY,"$52,800",Purchase,"$21,690","$7,400",Contract,24-month,19.25%,Simple,On time,Yes,No,2582.19,2 stars,2,7,1 borrower,$0,"$5,520",Yes,Unsecured
Prairie Branch,Online,Card,2023 VY,"$55,600",Refinance,"$17,880","$7,900",Employed,24-month,14.15%,Simple,2-year prior,Yes,No,7300.91,3 stars,2,7,1 borrower,$0,"$8,980",Yes,Auto
Capitol Branch,Online,Personal,2022 VY,"$72,200",Purchase,"$17,060","$15,400",Employed,36-month,11.30%,Simple,On time,No,Yes,12858.06,3 stars,4,15,2 borrowers,$0,"$8,650",Yes,Unsecured
River Branch,Online,Student,2019 VY,"$26,400",Purchase,"$5,240","$13,400",Employed,120-month,8.04%,Simple,Late docs,Yes,No,7037.04,2 stars,4,6,3 borrowers,$0,"$5,860",Yes,Auto
Highland Branch,Broker,Ag,2021 VY,"$77,300",Refinance,"$22,510","$91,000",Employed,84-month,10.32%,Schedule-heavy,On time,Yes,No,55661.6,2 stars,6,11,2 borrowers,$0,"$14,320",Yes,Unsecured
Capitol Branch,Branch,Card,2020 VY,"$71,100",Purchase,"$29,560","$8,000",Self-employed,24-month,16.87%,Simple,On time,Yes,Yes,8274.47,3 stars,0,13,1 borrower,$0,"$3,230",Yes,Unsecured
North Branch,Online,Ag,2021 VY,"$27,800",Purchase,"$6,060","$44,100",Self-employed,84-month,3.90%,Schedule-heavy,On time,Yes,No,42128.73,4 stars,6,7,4 borrowers,$0,"$5,670",No,Auto
Delta Branch,Branch,Mortgage,2021 VY,"$82,900",Purchase,"$10,990","$201,500",Self-employed,360-month,11.54%,Full-doc,Late docs,Yes,No,103176.23,2 stars,5,14,4 borrowers,"$28,940","$8,090",No,Unsecured
Delta Branch,Branch,Personal,2022 VY,"$66,900",Purchase,"$2,550","$23,400",Contract,36-month,9.12%,Simple,On time,Yes,No,20417.22,2 stars,7,9,1 borrower,$0,"$15,730",Yes,Auto
Prairie Branch,Branch,HELOC,2022 VY,"$89,800",Purchase,"$24,490","$67,800",Employed,180-month,11.71%,Schedule-heavy,2-year prior,Yes,No,33653.28,1 star,3,12,1 borrower,"$9,670","$14,260",Yes,Unsecured
Highland Branch,Branch,SME,2019 VY,"$176,000",Purchase,"$63,160","$116,200",Employed,60-month,6.04%,Schedule-heavy,On time,No,No,93989.22,2 stars,7,24,2 borrowers,$0,"$4,640",Yes,Auto
Highland Branch,Branch,SME,2020 VY,"$39,100",Purchase,"$4,160","$54,000",Employed,60-month,9.04%,Schedule-heavy,On time,Yes,No,42137.36,3 stars,6,8,4 borrowers,$0,"$7,390",Yes,Unsecured
Highland Branch,Online,Auto,2020 VY,"$24,200",Purchase,"$4,290","$16,700",Employed,60-month,3.90%,Simple,On time,No,Yes,17962.56,5 stars,3,9,2 borrowers,"$3,820","$1,210",Yes,Real-estate
Harbor Branch,Online,Mortgage,2022 VY,"$116,600",Purchase,"$44,860","$182,800",Employed,360-month,6.41%,Full-doc,On time,Yes,No,160544.45,3 stars,2,16,2 borrowers,"$19,590","$25,860",Yes,Real-estate
River Branch,Online,Personal,2021 VY,"$67,600",Purchase,"$17,090","$14,900",Employed,36-month,13.24%,Simple,2-year prior,No,No,9630.54,2 stars,3,10,2 borrowers,$0,"$16,100",Yes,Unsecured
